"Weather Records, Gothic, CO",,,,,,,,,,,
,,,"Temp.,","Temp.,",New ,Water,Total,Total,On ,,
198788,F,03,-8.5,-4.5,10,0.20,535,,142,,
198788,F,04,-25.0,-5.0,0,0.00,535,,139,,
198788,F,05,-25.0,-5.5,0,0.00,535,,135,,
198788,F,06,-23.0,-3.5,0,0.00,535,,132,,
198788,F,07,-23.0,-2.5,0,0.00,535,,127,,
198788,F,08,-13.5,-4.0,6,0.11,541,,126,,
198788,F,09,-20.5,-2.0,0,0.00,541,,122,,
198788,F,10,-8.0,-6.5,39,0.92,580,,145,,
198788,F,11,-10.5,-2.5,1,0.03,581,,135,,
198788,F,12,-10.5,1.5,0,0.00,581,,132,,
198788,F,13,-18.5,-0.5,1,0.03,582,,129,,
198788,F,14,-13.0,-6.5,4,0.13,586,,126,,
198788,F,15,-19.0,-1.0,0,0.00,586,,123,,
198788,F,16,-8.0,-4.0,4,0.16,590,,122,,
198788,F,17,-24.0,-6.0,0,0.00,590,,121,,
198788,F,18,-23.0,-7.0,0,0.00,590,,120,,
198788,F,19,-20.5,-4.0,0,0.00,590,,120,,
198788,F,20,-13.5,-3.0,0,0.00,590,,118,,
198788,F,21,-19.0,-0.5,0,0.00,590,,117,,
198788,F,22,-9.5,-0.5,0,0.00,590,,116,,
198788,F,23,-14.0,0.5,0,0.00,590,,116,,
198788,F,24,-19.5,1.0,0,0.00,590,,115,,
198788,F,25,-19.5,1.0,0,0.00,590,,115,,
198788,F,26,-17.0,3.0,0,0.00,590,,114,,
198788,F,27,-15.0,4.5,0,0.00,590,,113,,
198788,F,28,-4.5,3.5,4,0.08,594,,112,,
198788,F,29,-13.5,4.0,0,0.00,594,,111,,
198788,G,01,-10.0,3.0,4,0.07,598,,112,,
198788,G,02,-14.0,0.5,6,0.09,604,,114,,
198788,G,03,-14.0,1.0,2,0.03,606,,114,,
198788,G,04,-7.0,-3.5,35,0.55,641,,135,,
198788,G,05,-21.0,1.0,0,0.00,641,,127,,
198788,G,06,-18.0,2.0,0,0.00,641,,122,,
198788,G,07,-11.0,-6.5,29,0.82,670,,137,,
198788,G,08,-18.0,-4.0,2,0.06,672,,132,,
198788,G,09,-20.0,1.5,0,0.00,672,,131,,
198788,G,10,-9.5,-5.0,16,0.41,688,,138,,
198788,G,11,-14.0,-7.0,4,0.09,692,,136,,
198788,G,12,-24.0,-6.5,3,0.05,695,,134,,
198788,G,13,-19.0,-11.0,5,0.13,700,,135,,
198788,G,14,-26.5,0.0,0,0.00,700,,133,,
198788,G,15,-18.0,-2.0,7,0.16,707,,138,,
198788,G,16,-12.0,-6.5,10,0.25,717,,141,,
198788,G,17,-18.5,-6.5,0,0.00,717,,138,,
198788,G,18,-22.0,-3.0,0,0.00,717,,136,,
198788,G,19,-19.0,3.0,0,0.00,717,,133,,
198788,G,20,-15.5,5.0,0,0.00,717,,130,,
198788,G,21,-13.0,8.0,0,0.00,717,,128,,
198788,G,22,-12.0,5.5,0,0.00,717,,127,,
198788,G,23,-13.5,4.0,6,0.13,723,,130,,
198788,G,24,-10.0,1.0,2,0.05,725,,128,,
198788,G,25,-6.0,3.0,3,0.05,728,,128,,
198788,G,26,-9.0,6.0,0,0.00,728,,127,,
198788,G,27,-8.5,8.5,0,0.00,728,,124,,
198788,G,28,-9.0,-4.5,0,0.00,728,,120,,
198788,G,29,-19.0,-3.0,0,0.00,728,,117,,
198788,G,30,-8.5,-3.0,9,0.25,737,,120,,
198788,G,31,-10.5,-5.5,9,0.22,746,,123,,
198788,H,01,-19.5,2.0,0,0.00,746,,119,,
198788,H,02,-7.0,4.0,0,0.00,746,,117,,
198788,H,03,-11.0,6.0,0,0.00,746,,114,,
198788,H,04,-4.5,6.0,1,0.03,747,,113,,
198788,H,05,-9.0,3.5,8,0.21,755,,114,,
198788,H,06,-11.0,9.0,0,0.00,755,,111,,
198788,H,07,-8.0,9.5,0,0.00,755,,106,,
198788,H,08,-5.0,7.0,1,0.02,756,,104,,
198788,H,09,-12.0,0.5,0,0.00,756,,104,,
198788,H,10,-15.5,2.0,0,0.00,756,,102,,
198788,H,11,-11.5,7.0,0,0.00,756,,97,,
198788,H,12,-8.5,10.0,0,0.00,756,,91,,
198788,H,13,-6.5,10.0,0,0.00,756,,87,,
198788,H,14,-4.5,9.0,1,0.03,757,,83,,
198788,H,15,-0.5,6.0,5,0.16,762,,82,,
198788,H,16,-5.0,6.5,4,0.12,766,,84,,
198788,H,17,-4.5,1.0,19,0.52,785,,89,,
198788,H,18,-9.0,3.5,1,0.02,786,,83,,
198788,H,19,-3.0,5.5,5,0.12,791,,81,,
198788,H,20,-4.0,8.5,0,0.00,791,,76,,
198788,H,21,-2.0,4.0,19,0.47,810,,88,,
198788,H,22,-6.5,0.0,26,0.75,836,,94,,
198788,H,23,-6.0,1.5,24,0.55,860,,94,,
198788,H,24,-9.5,2.0,4,0.08,864,,89,,
198788,H,25,-5.0,1.5,21,0.45,885,,100,,
198788,H,26,-14.0,2.5,2,0.04,887,,91,,
198788,H,27,-9.0,8.5,0,0.00,887,,85,,
198788,H,28,-6.0,8.5,0,0.00,887,,82,,
198788,H,29,-1.5,9.5,0,0.00,887,,77,,
198788,H,30,-5.5,12.0,0,0.00,887,,71,,
198788,I,01,-6.0,4.0,1,0.03,888,,69,,
198788,I,02,-8.0,0.5,8,0.20,896,,67,,
198788,I,03,-10.0,5.5,0,0.00,896,,61,,
198788,I,04,-6.5,10.5,0,0.00,896,,55,,
198788,I,05,-5.0,10.0,0,0.00,896,,49,,
198788,I,06,-5.0,1.5,2,0.05,898,,49,,
198788,I,07,-6.5,2.5,2,0.06,900,,48,,
198788,I,08,-5.0,3.5,11,0.30,911,,47,,
198788,I,09,-3.0,6.0,0,0.00,911,,40,,
198788,I,10,-5.0,9.0,0,0.00,911,,35,,
198788,I,11,-7.0,12.5,0,0.00,911,,27,,
198788,I,12,-5.0,15.5,0,0.00,911,,18,,
198788,I,13,-3.0,16.0,0,0.00,911,,9,,
198788,I,14,0.0,15.0,0,0.00,911,,2,,
198788,I,15,-1.0,17.0,0,0.00,911,,0,,
198788,I,16,-2.0,19.0,0,0.00,911,,0,,
198788,I,17,-1.0,15.0,0,0.00,911,,0,,
198788,I,18,0.0,10.0,0,0.00,911,,0,,
198788,I,19,0.0,3.0,3,0.07,914,,0,,
198788,I,20,-1.5,4.0,3,0.08,917,,0,,
198788,I,21,-3.0,8.0,2,0.06,919,,0,,
198788,I,22,-1.5,10.0,0,0.00,919,,0,,
198788,I,23,-5.0,15.0,0,0.00,919,,0,,
198788,I,24,-2.0,17.5,0,0.00,919,,0,,
198788,I,25,-2.0,16.5,0,0.00,919,,0,,
198788,I,26,-1.5,17.0,0,0.00,919,,0,,
198788,I,27,-1.5,15.0,0,0.00,919,,0,,
198788,I,28,-1.0,17.5,0,0.00,919,,0,,
198788,I,29,-0.5,17.5,0,0.00,919,,0,,
198788,I,30,-1.0,7.0,4,0.11,923,,0,,
198788,I,31,-6.0,15.0,2,0.07,925,,0,,
198788,J,01,-5.0,13.0,0,0.00,925,,0,,
198788,J,02,-4.5,17.5,0,0.00,925,,0,,
198788,J,03,-0.5,19.5,0,0.00,925,,0,,
198788,J,04,2.0,21.0,0,0.00,925,,0,,
198889,A,16,0.0,0.0,1,0.04,1,,0,,
198889,B,09,0.0,0.0,2,0.06,3,,0,,
198889,B,30,0.0,0.0,4,0.10,7,,2,,
198889,C,03,,,9,0.30,16,,4,,
198889,C,04,,,2,0.05,18,,0,,
198889,C,05,,,0,0.00,18,,0,,
198889,C,06,-7.5,7.0,0,0.00,18,,0,,
198889,C,07,-4.0,8.0,1,0.04,19,,0,,
198889,C,08,-4.0,2.0,11,0.31,30,,9,,
198889,C,09,-4.5,0.0,46,1.40,76,,47,,
198889,C,10,-12.0,-3.0,1,0.03,77,,44,,
198889,C,11,-4.5,-1.5,24,0.72,101,,58,,
198889,C,12,-15.5,-2.0,2,0.07,103,,53,,
198889,C,13,-7.0,4.5,0,0.00,103,,43,,
198889,C,14,-4.5,3.5,1,0.03,104,,40,,
198889,C,15,-7.0,-3.5,31,0.90,135,,61,,
198889,C,16,-17.0,-5.0,0,0.00,135,,58,,
198889,C,17,-14.0,-7.0,21,0.45,156,,73,,
198889,C,18,-19.5,-5.0,8,0.16,164,,66,,
198889,C,19,-22.0,-6.5,0,0.00,164,,61,,
198889,C,20,-21.5,-5.0,0,0.00,164,,58,,
198889,C,21,-21.5,-7.0,0,0.00,164,,55,,
198889,C,22,-19.5,-3.0,0,0.00,164,,53,,
198889,C,23,-8.5,3.0,0,0.00,164,,51,,
198889,C,24,-7.0,-4.0,5,0.11,169,,52,,
198889,C,25,-9.5,-4.0,6,0.15,175,,55,,
198889,C,26,-13.5,-8.5,2,0.05,177,,54,,
198889,C,27,-15.0,-10.5,6,0.16,183,,56,,
198889,C,28,-20.5,-2.0,0,0.00,183,,53,,
198889,C,29,-13.5,-9.5,5,0.19,188,,54,,
198889,C,30,-16.5,-7.0,1,0.02,189,,54,,
198889,D,01,-17.0,0.0,0,0.00,189,,53,,
198889,D,02,-18.5,-0.5,0,0.00,189,,52,,
198889,D,03,-19.0,0.5,0,0.00,189,,51,,
198889,D,04,-16.0,0.5,0,0.00,189,,51,,
198889,D,05,-18.5,-1.0,0,0.00,189,,51,,
198889,D,06,-17.0,-0.5,0,0.00,189,,51,,
198889,D,07,-10.0,-6.0,4,0.06,193,,54,,
198889,D,08,-20.5,-6.5,0,0.00,193,,53,,
198889,D,09,-20.5,-4.5,0,0.00,193,,53,,
198889,D,10,-19.5,-5.0,0,0.00,193,,52,,
198889,D,11,-13.0,-3.5,1,0.02,194,,52,,
198889,D,12,-16.0,1.5,0,0.00,194,,52,,
198889,D,13,-14.0,1.0,0,0.00,194,,52,,
198889,D,14,-14.0,-3.0,0,0.00,194,,51,,
198889,D,15,-11.5,-6.5,31,0.65,225,,76,,
198889,D,16,-20.0,-4.0,0,0.00,225,,71,,
198889,D,17,-20.5,-3.0,0,0.00,225,,68,,
198889,D,18,-17.0,-0.5,0,0.00,225,,66,,
198889,D,19,-10.0,-6.5,8,0.16,233,,68,,
198889,D,20,-10.0,-5.5,18,0.37,251,,77,,
198889,D,21,-19.0,-9.5,15,0.34,266,,87,,
198889,D,22,-14.5,-12.0,21,0.52,287,,92,,
198889,D,23,-14.5,-1.5,18,0.37,305,,96,,
198889,D,24,-19.0,-14.0,9,0.17,314,,95,,
198889,D,25,-14.0,-7.0,50,1.19,364,,129,,
198889,D,26,-17.0,-14.5,14,0.35,378,,122,,
198889,D,27,-26.0,-15.0,4,0.10,382,,117,,
198889,D,28,-30.0,-13.5,0,0.00,382,,112,,
198889,D,29,-27.0,-14.5,1,0.02,383,,110,,
198889,D,30,-23.0,-8.0,1,0.02,384,,107,,
198889,D,31,-21.5,-6.0,0,0.00,384,,104,,
198889,E,01,-19.5,-6.0,0,0.00,384,,102,,
198889,E,02,-19.0,-4.5,0,0.00,384,,100,,
198889,E,03,-15.5,-3.0,0,0.00,384,,98,,
198889,E,04,-18.0,-3.5,0,0.00,384,,96,,
198889,E,05,-6.5,-1.5,15,0.45,399,,106,,
198889,E,06,-12.0,-8.0,19,0.50,418,,120,,
198889,E,07,-19.5,-16.5,3,0.06,421,,115,,
198889,E,08,-19.5,-15.5,1,0.03,422,,111,,
198889,E,09,-26.5,-13.0,3,0.05,425,,109,,
198889,E,10,-18.0,-5.0,7,0.13,432,,111,,
198889,E,11,-20.0,-9.5,12,0.25,444,,114,,
198889,E,12,-29.5,-14.5,0,0.00,444,,113,,
198889,E,13,-29.5,-13.5,0,0.00,444,,111,,
198889,E,14,-25.0,-9.0,0,0.00,444,,109,,
198889,E,15,-15.5,-9.0,4,0.11,448,,110,,
198889,E,16,-25.5,-10.0,0,0.00,448,,109,,
198889,E,17,-22.0,-5.0,0,0.00,448,,107,,
198889,E,18,-20.0,-4.0,0,0.00,448,,106,,
198889,E,19,-19.0,-2.5,0,0.00,448,,105,,
198889,E,20,-19.5,-1.5,0,0.00,448,,104,,
198889,E,21,-19.5,-4.5,0,0.00,448,,104,,
198889,E,22,-20.5,-2.0,0,0.00,448,,104,,
198889,E,23,-16.5,-1.5,0,0.00,448,,103,,
198889,E,24,-9.5,-6.5,22,0.48,470,,119,,
198889,E,25,-21.0,-4.0,9,0.18,479,,122,,
198889,E,26,-26.0,-8.0,0,0.00,479,,120,,
198889,E,27,-20.0,-5.5,0,0.00,479,,119,,
198889,E,28,-11.5,-2.0,0,0.00,479,,117,,
198889,E,29,-20.0,-8.0,1,0.01,480,,116,,
198889,E,30,-18.0,-2.0,0,0.00,480,,115,,
198889,E,31,-17.0,1.5,0,0.00,480,,114,,
198889,F,01,-12.0,-2.0,1,0.03,481,,112,,
198889,F,02,-6.5,-2.0,9,0.27,490,,115,,
198889,F,03,-7.0,-6.0,31,0.97,521,,137,,
198889,F,04,-9.0,-7.0,44,1.52,565,,162,,
198889,F,05,-25.0,-14.0,11,0.33,576,,161,,
198889,F,06,-27.0,-17.0,1,0.03,577,,155,,
198889,F,07,-33.0,-14.0,0,0.00,577,,152,,
198889,F,08,-30.5,-10.5,0,0.00,577,,149,,
198889,F,09,-15.0,-6.5,8,0.16,585,,150,,
198889,F,10,-9.0,-3.0,18,0.39,603,,158,,
198889,F,11,-8.0,-2.0,15,0.29,618,,162,,
198889,F,12,-12.0,-6.5,23,0.45,641,,170,,
198889,F,13,-16.0,-9.5,17,0.34,658,,170,,
198889,F,14,-15.0,-10.0,8,0.16,666,,172,,
198889,F,15,-18.5,-6.5,6,0.13,672,,170,,
198889,F,16,-23.5,-5.0,0,0.00,672,,170,,
198889,F,17,-18.0,-2.0,0,0.00,672,,165,,
198889,F,18,-16.5,-1.0,0,0.00,672,,161,,
198889,F,19,-8.5,-3.5,35,0.84,707,,183,,
198889,F,20,-10.0,-4.0,8,0.18,715,,178,,
198889,F,21,-11.5,-6.5,2,0.05,717,,173,,
198889,F,22,-20.5,-3.5,0,0.00,717,,171,,
198889,F,23,-14.0,0.5,0,0.00,717,,163,,
198889,F,24,-15.0,2.0,0,0.00,717,,160,,
198889,F,25,-7.0,5.5,0,0.00,717,,155,,
198889,F,26,-9.0,0.5,5,0.19,722,,157,,
198889,F,27,-9.0,-2.0,11,0.39,733,,157,,
198889,F,28,-15.5,-1.0,0,0.00,733,,152,,
198889,G,01,-12.0,1.0,0,0.00,733,,150,,
198889,G,02,-11.0,-4.5,12,0.35,745,,163,,
198889,G,03,-8.0,-4.5,45,1.29,790,,193,,
198889,G,04,-16.5,-6.0,3,0.07,793,,188,,
198889,G,05,-25.0,-6.0,0,0.00,793,,185,,
198889,G,06,-18.5,-1.0,0,0.00,793,,176,,
198889,G,07,-13.5,1.5,0,0.00,793,,173,,
198889,G,08,-2.0,5.0,4,0.15,797,,165,,
198889,G,09,-8.0,8.0,0,0.00,797,,157,,
198889,G,10,-8.0,9.5,0,0.00,797,,153,,
198889,G,11,-7.0,8.0,0,0.00,797,,150,,
198889,G,12,-6.0,7.0,0,0.00,797,,147,,
198889,G,13,-8.0,6.0,0,0.00,797,,144,,
198889,G,14,-10.0,-5.0,0,0.00,797,,144,,
198889,G,15,-10.0,-0.5,0,0.00,797,,143,,
198889,G,16,-13.0,4.0,0,0.00,797,,141,,
198889,G,17,-6.0,-2.0,1,0.02,798,,140,,
198889,G,18,-8.5,4.5,0,0.00,798,,139,,
198889,G,19,-4.5,-0.5,20,0.51,818,,152,,
198889,G,20,-8.0,-2.0,23,0.62,841,,162,,
198889,G,21,-21.0,-1.5,1,0.03,842,,154,,
198889,G,22,-8.0,3.0,1,0.02,843,,149,,
198889,G,23,-6.0,4.5,1,0.02,844,,144,,
198889,G,24,-6.5,5.5,0,0.00,844,,140,,
198889,G,25,-9.0,5.0,0,0.00,844,,138,,
198889,G,26,-5.5,1.5,0,0.00,844,,137,,
198889,G,27,-9.0,3.0,4,0.11,848,,136,,
198889,G,28,-10.5,4.5,0,0.00,848,,134,,
198889,G,29,-4.0,-0.5,19,0.49,867,,145,,
198889,G,30,-9.0,-4.0,12,0.30,879,,145,,
198889,G,31,-13.5,4.0,0,0.00,879,,137,,
198889,H,01,-3.5,-1.0,21,0.61,900,,152,,
198889,H,02,-5.5,-1.0,18,0.50,918,,157,,
198889,H,03,-5.0,-3.0,27,1.00,945,,165,,
198889,H,04,-9.5,-3.0,5,0.18,950,,161,,
198889,H,05,-11.5,3.0,0,0.00,950,,153,,
198889,H,06,-4.0,5.0,0,0.00,950,,143,,
198889,H,07,-1.5,6.5,0,0.00,950,,135,,
198889,H,08,-1.5,7.0,0,0.00,950,,130,,
198889,H,09,-1.0,3.0,0,0.00,950,,127,,
198889,H,10,-9.5,3.0,0,0.00,950,,124,,
198889,H,11,-5.5,3.5,1,0.01,951,,122,,
198889,H,12,-5.0,1.0,1,0.03,952,,119,,
198889,H,13,-12.0,4.5,0,0.00,952,,117,,
198889,H,14,-9.5,7.0,0,0.00,952,,112,,
198889,H,15,-7.0,8.5,0,0.00,952,,108,,
198889,H,16,-2.0,6.5,4,0.11,956,,104,,
198889,H,17,-3.5,8.5,2,0.05,958,,102,,
198889,H,18,-3.5,9.0,0,0.00,958,,96,,
198889,H,19,-5.5,10.5,0,0.00,958,,91,,
198889,H,20,-4.0,13.0,0,0.00,958,,86,,
198889,H,21,-4.0,13.0,0,0.00,958,,81,,
198889,H,22,-1.5,11.5,0,0.00,958,,77,,
198889,H,23,-5.5,12.0,0,0.00,958,,72,,
198889,H,24,-6.0,11.0,0,0.00,958,,67,,
198889,H,25,-5.0,8.5,0,0.00,958,,61,,
198889,H,26,-5.5,6.0,0,0.00,958,,58,,
198889,H,27,-6.5,1.0,10,0.11,968,,58,,
198889,H,28,-13.5,-1.0,10,0.12,978,,60,,
198889,H,29,-14.5,-1.5,16,0.21,994,,64,,
198889,H,30,-13.5,2.0,26,0.67,1020,,64,,
198889,I,01,-12.0,6.0,0,0.00,1020,,59,,
198889,I,02,-3.5,5.5,6,0.14,1026,,58,,
198889,I,03,-2.0,8.5,14,0.41,1040,,59,,
198889,I,04,-3.0,5.0,18,0.42,1058,,56,,
198889,I,05,-5.0,9.5,0,0.00,1058,,48,,
198889,I,06,-5.5,14.0,0,0.00,1058,,41,,
198889,I,07,-3.5,15.0,0,0.00,1058,,36,,
198889,I,08,-2.5,15.5,0,0.00,1058,,28,,
198889,I,09,-2.0,16.5,0,0.00,1058,,18,,
198889,I,10,-2.0,9.0,1,0.03,1059,,6,,
198889,I,11,-2.5,11.0,0,0.00,1059,,2,,
198889,I,12,-3.0,6.0,0,0.00,1059,,0,,
198889,I,13,-5.5,6.5,0,0.00,1059,,0,,
198889,I,14,-3.5,3.0,18,0.40,1077,,0,,
198889,I,15,-5.5,4.5,4,0.10,1081,,0,,
198889,I,16,-3.5,4.5,8,0.22,1089,,2,,
198889,I,17,-5.0,9.5,0,0.00,1089,,0,,
198889,I,18,-3.0,13.0,0,0.00,1089,,0,,
198889,I,19,-1.0,12.0,0,0.00,1089,,0,,
198889,I,20,-4.0,15.5,0,0.00,1089,,0,,
198889,I,21,2.0,15.5,0,0.00,1089,,0,,
198889,I,22,-4.0,18.0,0,0.00,1089,,0,,
198889,I,23,4.5,19.0,0,0.00,1089,,0,,
198889,I,24,4.5,12.0,0,0.00,1089,,0,,
198889,I,25,-4.0,9.0,0,0.00,1089,,0,,
198889,I,26,-5.0,13.0,0,0.00,1089,,0,,
198889,I,27,-4.5,15.5,0,0.00,1089,,0,,
198889,I,28,-0.5,17.0,0,0.00,1089,,0,,
198889,I,29,-1.5,18.0,0,0.00,1089,,0,,
198889,I,30,0.5,14.5,0,0.00,1089,,0,,
198889,I,31,-4.0,13.5,0,0.00,1089,,0,,
198889,J,01,-4.5,16.5,0,0.00,1089,,0,,
198889,J,02,-2.5,15.5,0,0.00,1089,,0,,
198889,J,03,-2.5,10.5,1,0.04,1090,,0,,
198889,J,04,-3.5,14.5,0,0.00,1090,,0,,
198889,J,05,-4.0,15.5,0,0.00,1090,,0,,
198889,J,06,-1.5,15.5,0,0.00,1090,,0,,
198889,J,07,-1.0,16.0,0,0.00,1090,,0,,
198889,J,08,0.5,11.0,0,0.00,1090,,0,,
198889,J,09,0.5,15.0,0,0.00,1090,,0,,
198889,J,13,0.0,0.0,4,0.10,1094,,0,,
198990,A,12,0.0,0.0,8,0.22,8,,0,,
198990,A,13,0.0,0.0,6,0.13,14,,0,,
198990,B,04,0.0,0.0,2,0.06,16,,0,,
198990,B,16,0.0,0.0,26,0.75,42,,0,,
198990,B,21,0.0,0.0,4,0.10,46,,0,,
198990,B,26,0.0,0.0,12,0.28,58,,0,,
198990,B,28,0.0,0.0,1,0.04,59,,0,,
198990,C,01,-10.0,-0.5,3,0.05,62,,5,,
198990,C,02,-15.0,5.0,0,0.00,62,,2,,
198990,C,03,-11.0,5.5,0,0.00,62,,1,,
198990,C,04,-8.0,0.5,0,0.00,62,,1,,
198990,C,05,-6.5,7.0,1,0.03,63,,0,,
198990,C,06,-3.5,0.0,17,0.26,80,,10,,
198990,C,07,-8.5,-1.0,11,0.22,91,,11,,
198990,C,08,-12.0,1.0,0,0.00,91,,8,,
198990,C,09,-3.5,6.5,0,0.00,91,,3,,
198990,C,10,-6.0,9.0,0,0.00,91,,0,,
198990,C,11,-6.0,11.0,0,0.00,91,,0,,
198990,C,12,-6.5,8.0,0,0.00,91,,0,,
198990,C,13,-5.5,8.0,0,0.00,91,,0,,
198990,C,14,-4.5,1.5,0,0.00,91,,0,,
198990,C,15,-11.0,-1.5,0,0.00,91,,0,,
198990,C,16,-11.5,-0.5,0,0.00,91,,0,,
198990,C,17,-5.5,2.0,0,0.00,91,,0,,
198990,C,18,-12.5,2.0,0,0.00,91,,0,,
198990,C,19,-9.5,9.5,0,0.00,91,,0,,
198990,C,20,-7.0,15.5,0,0.00,91,,0,,
198990,C,21,-5.0,10.0,0,0.00,91,,0,,
198990,C,22,-9.0,5.0,0,0.00,91,,0,,
198990,C,23,-9.5,4.5,0,0.00,91,,0,,
198990,C,24,-8.5,1.0,12,0.25,103,,9,,
198990,C,25,-3.5,-2.0,23,0.58,126,,27,,
198990,C,26,-7.0,-3.0,25,0.70,151,,36,,
198990,C,27,-12.0,-9.0,19,0.75,170,,43,,
198990,C,28,-25.0,-9.5,0,0.00,170,,39,,
198990,C,29,-23.0,-4.5,0,0.00,170,,36,,
198990,C,30,-19.5,-0.5,0,0.00,170,,33,,
198990,D,01,-15.5,1.0,0,0.00,170,,31,,
198990,D,02,-19.0,-1.0,0,0.00,170,,30,,
198990,D,03,-16.0,0.0,0,0.00,170,,29,,
198990,D,04,-14.5,2.0,0,0.00,170,,28,,
198990,D,05,-8.5,4.5,0,0.00,170,,27,,
198990,D,06,-6.5,4.0,10,0.23,180,,33,,
198990,D,07,-10.0,-2.5,4,0.10,184,,32,,
198990,D,08,-19.5,-4.5,0,0.00,184,,31,,
198990,D,09,-10.0,-3.0,2,0.05,186,,32,,
198990,D,10,-19.0,-8.0,15,0.31,201,,41,,
198990,D,11,-24.5,-13.5,1,0.01,202,,40,,
198990,D,12,-21.5,-11.0,0,0.00,202,,39,,
198990,D,13,-19.0,-9.0,0,0.00,202,,38,,
198990,D,14,-11.5,-7.0,3,0.07,205,,39,,
198990,D,15,-8.5,-6.0,2,0.04,207,,38,,
198990,D,16,-19.5,-11.5,3,0.05,210,,39,,
198990,D,17,-21.0,-15.5,7,0.18,217,,45,,
198990,D,18,-16.0,-11.5,10,0.23,227,,51,,
198990,D,19,-14.5,-5.5,0,0.00,227,,48,,
198990,D,20,-18.5,-2.5,0,0.00,227,,46,,
198990,D,21,-17.0,5.5,0,0.00,227,,45,,
198990,D,22,-13.5,-7.0,4,0.11,231,,47,,
198990,D,23,-16.5,-1.5,0,0.00,231,,45,,
198990,D,24,-16.0,-1.0,0,0.00,231,,45,,
198990,D,25,-19.0,-1.0,0,0.00,231,,44,,
198990,D,26,-20.5,-2.0,0,0.00,231,,44,,
198990,D,27,-17.0,1.0,0,0.00,231,,44,,
198990,D,28,-15.0,-4.0,0,0.00,231,,43,,
198990,D,29,-15.0,-2.5,4,0.07,235,,45,,
198990,D,30,-15.5,-7.0,1,0.03,236,,45,,
198990,D,31,-17.0,-6.5,2,0.03,238,,46,,
198990,E,01,-21.0,-3.5,0,0.00,238,,45,,
198990,E,02,-15.5,-6.5,0,0.00,238,,45,,
198990,E,03,-11.5,0.0,7,0.15,245,,49,,
198990,E,04,-26.5,-11.5,0,0.00,245,,48,,
198990,E,05,-20.5,-5.5,1,0.03,246,,48,,
198990,E,06,-24.5,-8.5,0,0.00,246,,48,,
198990,E,07,-21.0,-2.5,0,0.00,246,,47,,
198990,E,08,-12.0,-2.5,8,0.26,254,,53,,
198990,E,09,-9.0,3.5,3,0.07,257,,53,,
198990,E,10,-15.0,4.0,0,0.00,257,,51,,
198990,E,11,-8.5,5.5,0,0.00,257,,50,,
198990,E,12,-14.0,3.0,0,0.00,257,,50,,
198990,E,13,-7.0,-3.0,14,0.35,271,,60,,
198990,E,14,-6.5,-1.5,19,0.39,290,,71,,
198990,E,15,-12.0,-4.0,2,0.05,292,,68,,
198990,E,16,-13.5,-8.0,2,0.03,294,,66,,
198990,E,17,-15.5,-8.0,4,0.07,298,,66,,
198990,E,18,-20.0,-7.5,0,0.00,298,,64,,
198990,E,19,-13.5,-8.0,1,0.02,299,,63,,
198990,E,20,-15.0,-5.0,2,0.05,301,,62,,
198990,E,21,-24.0,-7.0,0,0.00,301,,61,,
198990,E,22,-20.5,-5.0,0,0.00,301,,60,,
198990,E,23,-13.5,-5.0,0,0.00,301,,59,,
198990,E,24,-16.0,-13.5,8,0.23,309,,63,,
198990,E,25,-16.0,-5.0,1,0.02,310,,61,,
198990,E,26,-13.5,-1.0,0,0.00,310,,61,,
198990,E,27,-18.5,-9.5,4,0.13,314,,62,,
198990,E,28,-25.0,-8.5,1,0.02,315,,61,,
198990,E,29,-15.5,-10.5,17,0.45,332,,73,,
198990,E,30,-20.5,-6.5,3,0.07,335,,70,,
198990,E,31,-10.0,-6.0,16,0.32,351,,81,,
198990,F,01,-9.0,-5.0,24,0.40,375,,89,,
198990,F,02,-13.5,-5.5,11,0.24,386,,91,,
198990,F,03,-25.0,-10.0,0,0.00,386,,89,,
198990,F,04,-27.0,-4.5,0,0.00,386,,85,,
198990,F,05,-16.5,-3.5,0,0.00,386,,83,,
198990,F,06,-21.0,-3.0,0,0.00,386,,82,,
198990,F,07,-10.0,-1.5,1,0.03,387,,81,,
198990,F,08,-17.0,-8.0,23,0.77,410,,89,,
198990,F,09,-21.0,-6.0,0,0.00,410,,87,,
198990,F,10,-15.0,-0.5,1,0.02,411,,84,,
198990,F,11,-15.0,2.0,0,0.00,411,,82,,
198990,F,12,-13.5,2.0,4,0.08,415,,84,,
198990,F,13,-5.5,0.5,16,0.48,431,,89,,
198990,F,14,-10.0,-5.5,6,0.15,437,,91,,
198990,F,15,-19.0,-14.0,5,0.12,442,,92,,
198990,F,16,-25.5,-12.0,4,0.10,446,,91,,
198990,F,17,-10.0,-13.0,25,0.51,471,,105,,
198990,F,18,-10.0,-5.5,27,0.71,498,,117,,
198990,F,19,-16.0,-5.0,1,0.03,499,,110,,
198990,F,20,-14.0,-1.0,0,0.00,499,,105,,
198990,F,21,-13.5,-4.0,1,0.03,500,,103,,
198990,F,22,-14.0,-3.0,0,0.00,500,,100,,
198990,F,23,-15.5,0.5,0,0.00,500,,99,,
198990,F,24,-18.5,1.0,0,0.00,500,,97,,
198990,F,25,-15.5,1.5,0,0.00,500,,96,,
198990,F,26,-14.5,3.5,0,0.00,500,,94,,
198990,F,27,-9.5,1.0,0,0.00,500,,92,,
