ID Sheet,ID Sheet Code,Species CODE,Genus,Species,Common Name,Family,Life Form,Life Form 2,Mature Layer,Life History,Flower Season,Fruit Season,Shade Tolerance,Native/Exotic,Native Status,Wetland Status,Habitat Desc,Distribution,Notes
U43,SONE,SONE,Solidago,Solidago nemoralis,gray goldenrod,Asteraceae,forb,low forb,understory,perennial,late summer,,,native,native,,"fields, woods, roadsides, dry sterile soils",,
U2,SORU,SORU,Solidago,Solidago rugosa ssp. Rugosa var. rugosa,wrinkle-leaf goldenrod,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FAC,"fields, woods, floodplains, roadsides, waste ground",,
U13,SOAS,SOAS,Sonchus,Sonchus asper,Common sow-thistle,Asteraceae,forb,tall forb,understory,annual,summer,,,non-native,non-native,FACU-,"abandoned fields, roadsides, waste ground",,
U66,SYLAV,SYLAV,Symphyotrichum,Symphyotrichum lavae,Aster,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,,,,
U45,SYLA,SYLA,Symphyotrichum,Symphyotrichum lateriflorum,calico aster,Asteraceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACW-,"old fields, rocky woods, roadsides, waste ground",,
U51,SYPI,SYPI,Symphyotrichum,Symphyotrichum pilosum,heath aster,Asteraceae,forb,tall forb,understory,perennial,,,,native,native,,"dry fields, open woods, vacant lots, roadsides",,
Dandelion,TAOF,TAOF,Taraxacum,Taraxacum officionale,common dandelion,Asteraceae,forb,low forb,understory,biennial,,,,non-native,non-native,FACU-,"fields, roadsides, lawns, waste ground",,
Rue-anemone (Thalictrum thalictroides),THTH,THTH,Thalictrum,Thalictrum thalictroides,rue-anemone,Ranunculaceae,forb,low forb,understory,perennial,spring,,,native,native,FACU-,"wooded banks, thickets",,
TORA,TORA,TORA,Toxicodendron,Toxicodendron radicans,poison ivy,,forb,vine,understory,,,,,native,native,,,,
U08,TRAU,TRAU,Trifolium,Trifolium aureum,large yellow hop-clover,Fabaceae,forb,low forb,understory,annual,summer,,,non-native,non-native,,"dry fields, waste ground, roadsides",,
Clover (Trifolium spp.),TRPR,TRPR,Trifolium,Trifolium pratense,red clover,Fabaceae,forb,low forb,understory,perennial,summer,,,non-native,naturalized,FACU-,"pastures, fields, roadsides",,
"Clover, white",TRRE,TRRE,Trifolium,Trifolium repens,white clover,Fabaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FACU-,"lawns, fields, roadsides",,
U205,TUFA,TUFA,Tussilago,Tussilago farfara,coltsfoot,Asteraceae,forb,low forb,understory,perennial,spring,,,non-native,non-native,FACU,"roadsides, railroad rights-of-way, stream banks, waste places",,
ULAM,ULAM,ULAM,Ulmus,Ulmus americana,American elm,Ulmaceae,woody,large tree,canopy,perennial,,,,native,native,,,,
ULRU,ULRU,ULRU,Ulmus,Ulmus rubra,slippery elm,Ulmaceae,woody,large tree,canopy,perennial,,,,native,native,,,,FORCE
U79 (Uvularia perfoliata),UVPE,UVPE,Uvularia,Uvularia perfoliata,bellwort,Colchiaceae,forb,low forb,understory,perennial,summer,summer,,native,native,FACU,moist woods,,
Vaccinium,Vaccinium,Vaccinium,Vaccinium,Vaccinium spp.,Blueberry,Ericaceae,woody,shrub,understory,perennial,early summer,summer,,native,native,,,,
Moth mullein,VEBL,VEBL,Verbascum,Verbascum blattaria,moth mullein,Scrophulariaceae,forb,tall forb,understory,biennial,early summer,,,non-native,non-native,UPL,"fields, roadsides, shale barrens, railroad embankments, waste ground",,found around FORCE site
Mullein (Verbascum thapsus),VETH,VETH,Verbascum,Verbascum thapsus,mullein,Scrophulariaceae,forb,tall forb,understory,biennial,summer,,,non-native,non-native,,"fields, roadsides, shale barrens, railroad embankments, dry waste ground",,
U60,VEUR,VEUR,Verbena,Verbena urticifolia,white vervain,Verbenaceae,forb,tall forb,understory,annual,late summer,,,native,native,FACU,"moist fields, meadows, waste ground",,
U60,VEUR,VEUR,Verbena,Verbena urticifolia,white vervain,Verbenaceae,forb,tall forb,understory,perennial,late summer,,,native,native,FACU,"moist fields, meadows, waste ground",,
U03 (Veronica spp.),VEOF,VEOF,Veronica,Veronica officinalis,"common speedwell, gypsyweed",Plantaginaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FAC-,"woods, roadsides, oldfields, shale barrens, lawns",,
"Speedwell, thyme-leaved",VESE,VESE,Veronica,Veronica serpyllifolia,thyme-leaved speedwell,Plantaginaceae,forb,low forb,understory,perennial,summer,,,non-native,non-native,FAC+,"lawns, fields, meadows, open woods",,
VIAC,VIAC,VIAC,Viburnum,Viburnum acerifolium,maple-leaf viburnum,Adoxaceae,woody,shrub,understory,perennial,early summer,fall,,native,native,UPL,,,
VIPR,VIPR,VIPR,Viburnum,Viburnum prunifolium,black-haw,Adoxaceae,woody,small tree,sub-canopy,perennial,spring,late summer,,native,native,FACU,"successional woods, thickets, old fields, roadsides",,
Viburnum spp.,Viburnum,Viburnum,Viburnum,Viburnum spp.,Viburnum,Adoxaceae,woody,shrub,sub-canopy,perennial,,,,,,,,,
Vetch,VICR,VICR,Vicia,Vicia cracca,"Canada pea, cow vetch",Fabaceae,forb,tall forb,understory,perennial,spring,,,non-native,naturalized,,"fields, roadsides, floodplains",,
Viola blanda,VIBL,VIBL,Viola,Viola blanda,sweet white violet,Violaceae,forb,low forb,understory,perennial,spring,,,native,native,FACW,"moist woods, swamps",,syn: V. incognita
U54,VIHI,VIHI,Viola,Viola hirsutula,southern wood violet,Violaceae,forb,low forb,understory,perennial,spring,,,native,native,,"dry, rich deciduous woods",,
Viola pubescens,VIPU,VIPU,Viola,Viola pubescens,downy yellow violet,Violaceae,forb,low forb,understory,perennial,spring,,,native,native,,,,"2 varietys: var. pubescens dry woods, FACU; var. scabriuscula moist woods, swamps"
Viola spp.,VISO,VISO,Viola,Viola soria,,Violaceae,forb,low forb,understory,perennial,spring,,,native,native,,,,
Violet spp,Viola,Viola,Viola,Viola spp,violet spp,Violaceae,forb,low forb,understory,,,,,native,native,,,,
Viola spp.,Viola spp,Viola spp,Viola,Viola spp.,violet spp,Violaceae,forb,low forb,understory,,,,,native,native,,,,
Vitis spp,Vitis,Vitis,Vitis,Vitis spp,wild grape,Vitaceae,woody,vine,understory,perennial,spring,late summer,,native,native,,,,
U68, =U2, =U2,,,,,unknown,unknown,,,,,,unknown,,,,,
grass,grass,grass,grass,,grass,,grass,grass,understory,,,,,unknown,,,,,
Grass 1,grass 1,grass 1,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 2,grass 2,grass 2,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 2a,grass 2a,grass 2a,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 2b,grass 2b,grass 2b,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 2c,grass 2c,grass 2c,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 3,grass 3,grass 3,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 3a,grass 3a,grass 3a,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 3b,grass 3b,grass 3b,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 3c,grass 3c,grass 3c,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 3f,grass 3f,grass 3f,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 4,grass 4,grass 4,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 5,grass 5,grass 5,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 6,grass 6,grass 6,grass,,,,grass,grass,understory,,,,,unknown,,,,,
Grass 7,grass 7,grass 7,grass,,,,grass,grass,understory,,,,,unknown,,,,,
thistle,thistle,thistle,Cirsium,,thistle,Asteraceae,forb,tall forb,understory,,,,,,,,,,
tree 6,tree 6,tree 6,,,,,woody,unknown,,,,,,unknown,,,,,
U10,U10,U10,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U20,U20,U20,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U35,U35,U35,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U39,U39,U39,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U4,U4,U4,Unknown,,,,grass,grass,understory,,,,,unknown,,,,,
U04,U4,U4,Unknown,,,,grass,grass,understory,,,,,unknown,,,,,
U42,U42,U42,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U49,U49,U49,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U50,U50,U50,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U52,U52,U52,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U57,U57,U57,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U07,U7,U7,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U70,U70,U70,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U75,U75,U75,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U77,U77,U77,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U80,U80,ARMI,Arctium,Arctium minus,common burdock,Asteraceae,forb,tall forb,understory,biennial,late summer,,,non-native,non-native,FACU-,"widely naturalized along fields, woods, railroad tracks, and waste ground",throughout,
U81,U81,U81,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U85,U85,U85,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U86,U86,U86,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U88,U88,U88,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U09,U9,U9,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
U90,U90,U90,Unknown,,,,forb,unknown,,,,,,unknown,,,,,
Grasses (all),,,grass,,,,grass,grass,understory,,,,,unknown,,,,,
monocot 1,,,,,,,unknown,unknown,,,,,,unknown,,,,,
monocot 2,,,,,,,unknown,unknown,,,,,,unknown,,,,,
Solidago sp. I,,,,,,,unknown,unknown,,,,,,unknown,,,,,
Udicotyledon,,,,,,,unknown,unknown,,,,,,unknown,,,,,
1-Oct,1-Oct,SORU,,,,,forb,,,,,,,,,,,,"marked 24 March 2010, B1"
2-Oct,2-Oct,SOCA,,,,,forb,,,,,,,,,,,,"marked 24 March 2010, B1"
3-Oct,3-Oct,SONE,,,,,forb,,,,,,,,,,,,"marked 24 March 2010, W1"
4-Oct,4-Oct,SORU,,,,,forb,,,,,,,,,,,,"marked 24 March 2010, H2"
Pinus,Pinus,Pinus,Pinus,Pinus spp.,Pine,Pinaceae,woody,large tree,canopy,,,,,native,native,,,,
5-Oct,5-Oct,DIAM,Dianthus,Dianthus ameria,Deptford pink,Caryophyllaceae,forb,low forb,understory,annual,summer,,,non-native,non-native,UPL,"common in old fields, waste ground, and roadsides, throughout",,
6-Oct,6-Oct,RAAB,Ranunculus,Ranunculus abortivis,,,forb,,,,,,,,,,,,
7-Oct,7-Oct,SYLAV,,,,,forb,,,,,,,,,,,,
8-Oct,8-Oct,SORU,,,,,forb,,,,,,,,,,,,"marked 7 April, B1"
,Desmodium,DEPA,,,,,forb,,,,,,,,,,,,"B2, 4/14"
,9-Oct,9-Oct,,,,,forb,,,,,,,,,,,,A1 4/21
,U83,EPCI,,,,,,,,,,,,,,,,,
MELI,Melampyrum lineare,cow-wheat,Orobanchaceae,forb,low forb,understory,annual,summer,,,native,native,FACU,"acidic woods, bog margins, barrens",,parasite,,,
,U45,SYLA,,,,,,,,,,,,,,,,,
10-Oct,10-Oct,OEBI,,,,,forb,,,,,,,,,,,,
,U41,HICA,,,,,,,,,,,,,,,,,
,Amelanchier,Amelanchier,Amelanchier,spp.,"Serviceberry, Juneberry",Rosaceae,woody,shrub,,,,,,,native,,,,
Canada mayflower,MACA,MACA,Maianthemum,Maianthemum canadense,Canada mayflower,Ruscaceae,forb,low forb,understory,perennial,spring,,,native,native,FAC-,dry to moist woods,,
,Asclepias,Asclepias,,,,,forb,,,,,,,,,,,,"some sort of milkweed, but could be Apocynum cannabinum"
,11-Oct,11-Oct,,,,,forb,,,,,,,,,,,,
,PEDI,PEDI,Penstemon,Penstemon digitalis,beardtongue,Plantaginaceae (Scrophulariaceae),forb,tall forb,understory,perennial,early summer,,,native,native,FAC,"meadows, old fields, roadsides",throughout PA,"found around site, flowering early June (7 June)"
,DIAM,DIAM,Dianthus,Dianthus ameria,Deptford pink,Caryophyllaceae,forb,low forb,understory,annual,summer,,,non-native,non-native,UPL,"common in old fields, waste ground, and roadsides, throughout",,
,U66,SYLAV,,,,,,,,,,,,,,,,,
,ARMI,ARMI,Arctium,Arctium minus,common burdock,Asteraceae,forb,tall forb,understory,biennial,late summer,,,non-native,non-native,FACU-,"widely naturalized along fields, woods, railroad tracks, and waste ground",throughout,
,Aster,SOJU,,,,,,,,,,,,,,,,,
,Solidago,Solidago,Solidago,,,Asteraceae,forb,tall forb,understory,,,,,,,,,,
,OEBI,OEBI,Oenothera,Oenethera biennis,evening-primrose,Onagraceae,forb,tall forb,understory,biennial,summer,,,native,native,FACU-,"cultivated fields, waste ground, roadsides, throughout",,
