PDF	ZIP	Latin Name	Common Name	Reference	Original Map No(s).
Graphic(PDF)	Shapefiles	Laguncularia racemosa	white mangrove	Little (1978) 	219
Graphic(PDF)	Shapefiles	Larix laricina	tamarack	Little (1971) 	32-N, 32-E
Graphic(PDF)	Shapefiles	Larix lyallii	subalpine larch	Little (1971) 	33-W
Graphic(PDF)	Shapefiles	Larix occidentalis	western larch	Little (1971) 	34-W
Graphic(PDF)	Shapefiles	Larrea divaricata	creosote bush	Yang (1970) 	p. 44
Graphic(PDF)	Shapefiles	Leitneria floridana	corkwood	Little (1977) 	74
Graphic(PDF)	Shapefiles	Leucaena pulverulenta	great leadtree	Little (1976) 	96-N, 96-SW
Graphic(PDF)	Shapefiles	Leucaena retusa	littleleaf leadtree	Little (1976) 	94
Graphic(PDF)	Shapefiles	Libocedrus decurrens	incense cedar	Little (1971) 	35-W
Graphic(PDF)	Shapefiles	Licaria triandra 	Florida licaria	Little (1978) 	220
Graphic(PDF)	Shapefiles	Liquidambar styraciflua	sweetgum	Little (1971) 	135-N, 135-E
Graphic(PDF)	Shapefiles	Liriodendron tulipifera	yellow poplar	Little (1971) 	137-E
Graphic(PDF)	Shapefiles	Lithocarpus densiflorus	tanoak	Little (1971) 	136-W
Graphic(PDF)	Shapefiles	Lyonia ferruginea	tree lyonia	Little (1977) 	76
Graphic(PDF)	Shapefiles	Lyonothamnus floribundus	Lyontree	Little (1976) 	98
Graphic(PDF)	Shapefiles	Lysiloma latisiliquum	Bahama lysiloma	Little (1978) 	221
Graphic(PDF)	Shapefiles	Lysiloma microphylla	littleleaf lysiloma	Little (1976) 	97-N, 97-SW
Graphic(PDF)	Shapefiles	Maclura pomifera	Osage orange	Little (1971) 	138-W, 138-E
Graphic(PDF)	Shapefiles	Magnolia acuminata	cucumbertree	Little (1971) 	140-E
Graphic(PDF)	Shapefiles	Magnolia ashei	Ashe magnolia	Little (1977) 	77
Graphic(PDF)	Shapefiles	Magnolia fraseri	Fraser magnolia	Little (1977) 	78
Graphic(PDF)	Shapefiles	Magnolia grandiflora	southern magnolia	Little (1971) 	141-E
Graphic(PDF)	Shapefiles	Magnolia macrophylla	bigleaf magnolia	Little (1977) 	79
Graphic(PDF)	Shapefiles	Magnolia pyramidata	pyramid magnolia	Little (1977) 	80
Graphic(PDF)	Shapefiles	Magnolia tripetala	umbrella magnolia	Little (1977) 	81
Graphic(PDF)	Shapefiles	Magnolia virginiana	sweetbay	Little (1971) 	142-E
Graphic(PDF)	Shapefiles	Malus angustifolia	southern crab apple	Little (1977) 	82
Graphic(PDF)	Shapefiles	Malus coronaria	sweet crab apple	Little (1977) 	83
Graphic(PDF)	Shapefiles	Malus diversifolia	Oregon crab apple	Little (1976) 	100-N, 100-W
Graphic(PDF)	Shapefiles	Malus ioensis	prairie crab apple	Little (1977) 	84
Graphic(PDF)	Shapefiles	Manilkara bahamensis	wild dilly	Little (1978) 	222
Graphic(PDF)	Shapefiles	Mastichodendron foetidissimum	false mastic	Little (1978) 	223
Graphic(PDF)	Shapefiles	Maytenus phyllanthoides	Florida mayten	Little (1978) 	224
Graphic(PDF)	Shapefiles	Metopium toxiferum	Florida poisontree	Little (1978) 	225
Graphic(PDF)	Shapefiles	Morus microphylla	Texas mulberry	Little (1976) 	99
Graphic(PDF)	Shapefiles	Morus rubra	red mulberry	Little (1971) 	139-W, 139-E
Graphic(PDF)	Shapefiles	Myrcianthes fragrans	twinberry stopper	Little (1978) 	226
Graphic(PDF)	Shapefiles	Myrica californica	Pacific bayberry	Little (1976) 	101
Graphic(PDF)	Shapefiles	Myrica cerifera	southern bayberry	Little (1977) 	85
Graphic(PDF)	Shapefiles	Myrica heterophylla	evergreen bayberry	Little (1977) 	86
Graphic(PDF)	Shapefiles	Myrica inodora	odorless bayberry	Little (1977) 	87
Graphic(PDF)	Shapefiles	Myrica pensylvanica	northern bayberry	Little (1977) 	88-N, 88-NE
Graphic(PDF)	Shapefiles	Nectandra coriacea	Florida nectandra	Little (1978) 	227
Graphic(PDF)	Shapefiles	Nemopanthus collinus	mountain holly	Little (1977) 	89
Graphic(PDF)	Shapefiles	Nolina bigelovii	Bigelow nolina	Little (1976) 	102
Graphic(PDF)	Shapefiles	Nyssa aquatica	water tupelo	Little (1971) 	143-E
Graphic(PDF)	Shapefiles	Nyssa ogeche	Ogeechee tupelo	Little (1971) 	145-E
Graphic(PDF)	Shapefiles	Nyssa sylvatica	black tupelo, blackgum	Little (1971) 	144-N, 144-E
Graphic(PDF)	Shapefiles	Olneya tesota	tesota	Little (1976) 	103
Graphic(PDF)	Shapefiles	Opuntia fulgida	jumping cholla	Little (1976) 	104
Graphic(PDF)	Shapefiles	Osmanthus americanus	devilwood	Little (1977) 	90
Graphic(PDF)	Shapefiles	Ostrya chisosensis	Chisos hophornbean	Little (1976) 	105
Graphic(PDF)	Shapefiles	Ostrya knowltonii	Knowlton hophornbeam	Little (1976) 	106
Graphic(PDF)	Shapefiles	Ostrya virginiana	eastern hophornbeam	Little (1971) 	146-N, 146-W, 146-E
Graphic(PDF)	Shapefiles	Oxydendrum arboreum	sourwood	Little (1977) 	91
Graphic(PDF)	Shapefiles	Parkinsonia aculeata	Jerusalem thorn	Little (1976) 	107
Graphic(PDF)	Shapefiles	Persea borbonia	redbay	Little (1977) 	92
Graphic(PDF)	Shapefiles	Photinia arbutifolia	Christmas berry	Little (1976) 	109-NW, 109-SW
Graphic(PDF)	Shapefiles	Picea breweriana	Brewer spruce	Little (1971) 	36-W
Graphic(PDF)	Shapefiles	Picea chihuahuana	chihuahua spruce	Gordon (1968) 	Fig. 5, Page 882
Graphic(PDF)	Shapefiles	Picea engelmannii	Engelmann spruce	Little (1971) 	37-W, 37-N
Graphic(PDF)	Shapefiles	Picea glauca	white spruce	Little (1971) 	39-W, 39-E, 39-N
Graphic(PDF)	Shapefiles	Picea mariana	black spruce	Little (1971) 	38-N, 38-E
Graphic(PDF)	Shapefiles	Picea pungens	blue spruce	Little (1971) 	40-W
Graphic(PDF)	Shapefiles	Picea rubens	red spruce	Little (1971) 	41-N, 41-E
Graphic(PDF)	Shapefiles	Picea sitchensis	Sitka spruce	Little (1971) 	42-W, 42-N
Graphic(PDF)	Shapefiles	Picramnia pentandra 	bitterbush	Little (1978) 	228
Graphic(PDF)	Shapefiles	Pinckneya pubens	pinckneya	Little (1977) 	93
Graphic(PDF)	Shapefiles	Pinus albicaulis	whitebark pine	Little (1971) 	43-W, 43-N
Graphic(PDF)	Shapefiles	Pinus aristata	bristlecone pine	Little (1971) 	44-W
Graphic(PDF)	Shapefiles	Pinus attenuata	knobcone pine	Little (1971) 	48-W
Graphic(PDF)	Shapefiles	Pinus ayacahuite	Mexican white pine	Critchfield and Little (1966) 	9
Graphic(PDF)	Shapefiles	Pinus balfouriana	foxtail pine	Little (1971) 	45-W
Graphic(PDF)	Shapefiles	Pinus banksiana	jack pine	Little (1971) 	46-N, 46-E
Graphic(PDF)	Shapefiles	Pinus caribaea	Caribbean pine	Critchfield and Little (1966) 	46
Graphic(PDF)	Shapefiles	Pinus cembroides	Mexican pinyon	Little (1971) 	47-W, 47-N
Graphic(PDF)	Shapefiles	Pinus clausa	sand pine	Little (1971) 	49-E
Graphic(PDF)	Shapefiles	Pinus contorta	lodgepole pine	Little (1971) 	50-W, 50-N
Graphic(PDF)	Shapefiles	Pinus cooperi	Cooper pine	Critchfield and Little (1966) 	51
Graphic(PDF)	Shapefiles	Pinus coulteri	Coulter pine	Little (1971) 	51-W
Graphic(PDF)	Shapefiles	Pinus cubensis	Cuban pine	Critchfield and Little (1966) 	46
Graphic(PDF)	Shapefiles	Pinus culminicola	Potosi pinyon	Critchfield and Little (1966) 	18
Graphic(PDF)	Shapefiles	Pinus douglasiana	Douglas pine	Critchfield and Little (1966) 	52
Graphic(PDF)	Shapefiles	Pinus durangensis	Durango pine	Critchfield and Little (1966) 	50
Graphic(PDF)	Shapefiles	Pinus echinata	shortleaf pine	Little (1971) 	52-E
Graphic(PDF)	Shapefiles	Pinus edulis	pinyon	Little (1971) 	53-W
Graphic(PDF)	Shapefiles	Pinus elliottii	slash pine	Little (1971) 	54-E
Graphic(PDF)	Shapefiles	Pinus engelmannii	Apache pine	Little (1971) 	55-W, 55-N
Graphic(PDF)	Shapefiles	Pinus flexilis	limber pine	Little (1971) 	56-W, 56-N
Graphic(PDF)	Shapefiles	Pinus glabra	spruce pine	Little (1971) 	58-E
Graphic(PDF)	Shapefiles	Pinus greggii	Gregg pine	Critchfield and Little (1966) 	60
Graphic(PDF)	Shapefiles	Pinus hartwegii	Hartweg pine	Critchfield and Little (1966) 	51
Graphic(PDF)	Shapefiles	Pinus jeffreyi	Jeffrey pine	Little (1971) 	57-W
Graphic(PDF)	Shapefiles	Pinus lambertiana	sugar pine	Little (1971) 	59-W
Graphic(PDF)	Shapefiles	Pinus lawsonii	Lawson pine	Critchfield and Little (1966) 	53
Graphic(PDF)	Shapefiles	Pinus leiophylla	Chihuahua pine	Little (1971), Critchfield and Little (1966) 	61-W, 61-N, 22
Graphic(PDF)	Shapefiles	Pinus longaeva 	Intermountain bristlecone pine	Bailey, 1970; Little, 1971 	p. 215, 44W
Graphic(PDF)	Shapefiles	Pinus lumholtzii	Lumholtz pine	Critchfield and Little (1966) 	23
Graphic(PDF)	Shapefiles	Pinus maximartinezii	Mart?nez pinyon	Critchfield and Little (1966) 	15
Graphic(PDF)	Shapefiles	Pinus michoacana	Michoacßn pine	Critchfield and Little (1966) 	50
Graphic(PDF)	Shapefiles	Pinus monophylla	singleleaf pinyon	Little (1971) 	60-W
Graphic(PDF)	Shapefiles	Pinus monticola	western white pine	Little (1971) 	62-W
Graphic(PDF)	Shapefiles	Pinus montezumae	Montezuma pine	Critchfield and Little (1966) 	49
Graphic(PDF)	Shapefiles	Pinus muricata	bishop pine	Little (1971) 	63-W
Graphic(PDF)	Shapefiles	Pinus nelsonii	Nelson pinyon	Critchfield and Little (1966) 	18
Graphic(PDF)	Shapefiles	Pinus occidentalis	West Indian pine	Critchfield and Little (1966) 	46
Graphic(PDF)	Shapefiles	Pinus oocarpa	Nicaraguan pitch pine; ocote pine	Critchfield and Little (1966) 	61
Graphic(PDF)	Shapefiles	Pinus palustris	longleaf pine	Little (1971) 	65-E
Graphic(PDF)	Shapefiles	Pinus patula	Mexican weeping pine	Critchfield and Little (1966) 	60
Graphic(PDF)	Shapefiles	Pinus pinceana	Pince pinyon	Critchfield and Little (1966) 	18
Graphic(PDF)	Shapefiles	Pinus ponderosa	ponderosa pine	Little (1971) 	64-W, 64-N
Graphic(PDF)	Shapefiles	Pinus pringlei	Pringle pine	Critchfield and Little (1966) 	61
Graphic(PDF)	Shapefiles	Pinus pseudostrobus	False Weymouth pine	Critchfield and Little (1966) 	52
Graphic(PDF)	Shapefiles	Pinus pungens	Table Mountain pine	Little (1971) 	66-E
Graphic(PDF)	Shapefiles	Pinus quadrifolia	Parry pinyon	Little (1971) 	67-W
Graphic(PDF)	Shapefiles	Pinus radiata	Monterey pine	Little (1971) 	68-W
Graphic(PDF)	Shapefiles	Pinus resinosa	red pine	Little (1971) 	69-N, 69-E
Graphic(PDF)	Shapefiles	Pinus rigida	pitch pine	Little (1971) 	71-E
Graphic(PDF)	Shapefiles	Pinus sabiniana	Digger pine	Little (1971) 	70-W
Graphic(PDF)	Shapefiles	Pinus serotina	pond pine	Little (1971) 	74-E
Graphic(PDF)	Shapefiles	Pinus strobus	eastern white pine	Little (1971) 	73-N, 73-E
Graphic(PDF)	Shapefiles	Pinus strobiformis	southwestern white pine	Little (1971) 	72-W, 72-N
Graphic(PDF)	Shapefiles	Pinus taeda	loblolly pine	Little (1971) 	75-E
Graphic(PDF)	Shapefiles	Pinus teocote	Twisted leaves pine; Aztec pine	Critchfield and Little (1966) 	53
Graphic(PDF)	Shapefiles	Pinus torreyana	Torrey pine	Little (1971) 	76-W
Graphic(PDF)	Shapefiles	Pinus tropicalis	tropical pine	Critchfield and Little (1966) 	26
Graphic(PDF)	Shapefiles	Pinus virginiana	Virginia pine	Little (1971) 	77-E
Graphic(PDF)	Shapefiles	Pinus washoensis	Washoe pine	Little (1971) 	78-W
Graphic(PDF)	Shapefiles	Piscidia piscipula	Florida fishpoison tree	Little (1978) 	229
Graphic(PDF)	Shapefiles	Pisonia rotundata	pisonia	Little (1978) 	230
Graphic(PDF)	Shapefiles	Pistacia texana	Texas pistache	Little (1976) 	108
Graphic(PDF)	Shapefiles	Pithecellobium flexicaule	ebony blackbead	Little (1976) 	110-N, 110-SW
Graphic(PDF)	Shapefiles	Pithecellobium guadalupense	Guadeloupe blackbead	Little (1978) 	231
Graphic(PDF)	Shapefiles	Pithecellobium pallens	huajillo	Little (1976) 	111-N, 111-SW
Graphic(PDF)	Shapefiles	Pithecellobium unguis-cati	catclaw blackbead	Little (1978) 	232
Graphic(PDF)	Shapefiles	Planera aquatica	planertree	Little (1977) 	94
Graphic(PDF)	Shapefiles	Platanus occidentalis	American sycamore	Little (1971) 	147-W, 147-E, 147-N
Graphic(PDF)	Shapefiles	Platanus racemosa	California sycamore	Little (1976) 	112
Graphic(PDF)	Shapefiles	Platanus wrightii	Arizona sycamore	Little (1976) 	113
Graphic(PDF)	Shapefiles	Populus angustifolia	narrowleaf cottonwood	Little (1976) 	114
Graphic(PDF)	Shapefiles	Populus arizonica	Arizona cottonwood	Little (1976) 	115
Graphic(PDF)	Shapefiles	Populus balsamifera	balsam poplar	Little (1971) 	148-N, 148-W, 148-E
Graphic(PDF)	Shapefiles	Populus deltoides	eastern cottonwood	Little (1971) 	149-W,149-E
Graphic(PDF)	Shapefiles	Populus fremontii	Fremont cottonwood	Little (1971) 	150-W
Graphic(PDF)	Shapefiles	Populus grandidentata	bigtooth aspen	Little (1971) 	152-N, 152-E
Graphic(PDF)	Shapefiles	Populus heterophylla	swamp cottonwood	Little (1971) 	151-E
Graphic(PDF)	Shapefiles	Populus hinckleyana	Hinckley cottonwood	Little (1976) 	116
Graphic(PDF)	Shapefiles	Populus tremuloides	quaking aspen	Little (1971) 	154-W, 154-E, 154-N
Graphic(PDF)	Shapefiles	Populus trichocarpa	black cottonwood	Little (1971) 	153-W, 153-N
Graphic(PDF)	Shapefiles	Prosopis juliflora	mesquite	Little (1976) 	118-N, 118-SW
Graphic(PDF)	Shapefiles	Prosopis pubescens	screwbean mesquite	Little (1976) 	117
Graphic(PDF)	Shapefiles	Prunus alleghaniensis	Allegheny plum	Little (1977) 	96
Graphic(PDF)	Shapefiles	Prunus americana	American plum	Little (1976, 1977) 	119-NW, 119-SW, 95-NE, 95-SE
Graphic(PDF)	Shapefiles	Prunus angustifolia	Chickasaw plum	Little (1976, 1977) 	120, 97
Graphic(PDF)	Shapefiles	Prunus caroliniana	Carolina laurelcherry	Little (1977) 	98
Graphic(PDF)	Shapefiles	Prunus emarginata	bitter cherry	Little (1976) 	122-N, 122-W
Graphic(PDF)	Shapefiles	Prunus fremontii	desert apricot	Little (1976) 	121
Graphic(PDF)	Shapefiles	Prunus hortulana	hortulan plum	Little (1977) 	99
Graphic(PDF)	Shapefiles	Prunus ilicifolia	hollyleaf cherry	Little (1976) 	123
Graphic(PDF)	Shapefiles	Prunus lyonii	Catalina cherry	Little (1976) 	124
Graphic(PDF)	Shapefiles	Prunus mexicana	Mexican plum	Little (1977) 	100-N, 100-SE
Graphic(PDF)	Shapefiles	Prunus munsoniana	wildgoose plum	Little (1977) 	101
Graphic(PDF)	Shapefiles	Prunus myrtifolia	West Indies cherry	Little (1978) 	233
Graphic(PDF)	Shapefiles	Prunus nigra	Canada plum	Little (1977) 	102
Graphic(PDF)	Shapefiles	Prunus pensylvanica	pin cherry	Little (1976, 1977) 	125-N, 125-NW, 103-N, 103-NE
Graphic(PDF)	Shapefiles	Prunus serotina	black cherry	Little (1971) 	155-N, 155-W, 155-E
Graphic(PDF)	Shapefiles	Prunus subcordata	Klamath plum	Little (1976) 	126
Graphic(PDF)	Shapefiles	Prunus umbellata	flatwoods plum	Little (1977) 	105
Graphic(PDF)	Shapefiles	Prunus virginiana	common chokecherry	Little (1976, 1977) 	127-N, 127-NW, 127-SW, 104-N, 104-NE
Graphic(PDF)	Shapefiles	Pseudotsuga macrocarpa	bigcone Douglas fir	Little (1971) 	79-W
Graphic(PDF)	Shapefiles	Pseudotsuga menziesii	Douglas fir	Little (1971) 	80-W, 80-N
Graphic(PDF)	Shapefiles	Pseudophoenix sargentii	buccaneer palm	Little (1978) 	234
Graphic(PDF)	Shapefiles	Psidium longipes	long stalk stopper	Little (1978) 	235
Graphic(PDF)	Shapefiles	Ptelea crenulata	California hoptree	Little (1976) 	129
Graphic(PDF)	Shapefiles	Ptelea trifoliata	common hoptree	Little (1976) 	128-N, 128-SW
Graphic(PDF)	Shapefiles	Quercus agrifolia	California live oak	Little (1971) 	156-W
Graphic(PDF)	Shapefiles	Quercus ajoensis	Ajo oak	Little (1976) 	130
Graphic(PDF)	Shapefiles	Quercus alba	white oak	Little (1971) 	157-E
Graphic(PDF)	Shapefiles	Quercus arizonica	Arizona white oak	Little (1976) 	131
Graphic(PDF)	Shapefiles	Quercus arkansana	Arkansas oak	Little (1977) 	107
Graphic(PDF)	Shapefiles	Quercus bicolor	swamp white oak	Little (1971) 	159-E
Graphic(PDF)	Shapefiles	Quercus chapmanii	Chapman oak	Little (1977) 	108
Graphic(PDF)	Shapefiles	Quercus chrysolepis	canyon live oak	Little (1971) 	158-W
Graphic(PDF)	Shapefiles	Quercus coccinea	scarlet oak	Little (1971) 	161-E
Graphic(PDF)	Shapefiles	Quercus douglasii	blue oak	Little (1971) 	160-W
Graphic(PDF)	Shapefiles	Quercus dunnii	Dunn oak	Little (1976) 	132
Graphic(PDF)	Shapefiles	Quercus durandii	Durand oak	Little (1977) 	109
Graphic(PDF)	Shapefiles	Quercus ellipsoidalis	northern pin oak	Little (1971) 	163-E
Graphic(PDF)	Shapefiles	Quercus emoryi	Emory oak	Little (1971) 	162-W
Graphic(PDF)	Shapefiles	Quercus engelmannii	Engelmann oak	Little (1976) 	133
Graphic(PDF)	Shapefiles	Quercus falcata	southern red oak	Little (1971) 	165-E
Graphic(PDF)	Shapefiles	Quercus gambelii	Gambel oak	Little (1971) 	164-W
Graphic(PDF)	Shapefiles	Quercus garryana	Oregon white oak	Little (1971) 	166-W
Graphic(PDF)	Shapefiles	Quercus georgiana	Georgia oak	Little (1977) 	110
Graphic(PDF)	Shapefiles	Quercus glaucoides	Lacey oak	Little (1976) 	134
Graphic(PDF)	Shapefiles	Quercus graciliformis	Chisos oak	Little (1976) 	135
Graphic(PDF)	Shapefiles	Quercus gravesii	Graves oak incl. Q. tardifolia (Muller) lateleaf oak	Little (1976) 	136
Graphic(PDF)	Shapefiles	Quercus grisea	gray oak	Little (1976) 	137
Graphic(PDF)	Shapefiles	Quercus havardii	Havard oak	Little (1976) 	138
Graphic(PDF)	Shapefiles	Quercus hypoleucoides	silverleaf oak	Little (1976) 	139
Graphic(PDF)	Shapefiles	Quercus ilicifolia	bear oak	Little (1977) 	111
Graphic(PDF)	Shapefiles	Quercus imbricaria	shingle oak	Little (1977) 	112
Graphic(PDF)	Shapefiles	Quercus incana	bluejack oak	Little (1977) 	113
Graphic(PDF)	Shapefiles	Quercus kelloggii	California black oak	Little (1971) 	167-W
Graphic(PDF)	Shapefiles	Quercus laevis	turkey oak	Little (1977) 	114
Graphic(PDF)	Shapefiles	Quercus laurifolia	laurel oak	Little (1971) 	168-E
Graphic(PDF)	Shapefiles	Quercus lobata	California white oak	Little (1971) 	170-W
Graphic(PDF)	Shapefiles	Quercus lyrata	overcup oak	Little (1971) 	169-E
Graphic(PDF)	Shapefiles	Quercus macdonaldii	McDonald oak	Little (1976) 	140
Graphic(PDF)	Shapefiles	Quercus macrocarpa	bur oak	Little (1971) 	172-W, 172-E
Graphic(PDF)	Shapefiles	Quercus marilandica	blackjack oak	Little (1971) 	171-E
Graphic(PDF)	Shapefiles	Quercus michauxii	swamp chestnut oak	Little (1971) 	174-E
Graphic(PDF)	Shapefiles	Quercus mohriana	Mohrs oak	Little (1976) 	141
Graphic(PDF)	Shapefiles	Quercus muehlenbergii	chinkapin oak	Little (1971) 	173-W, 173-E
Graphic(PDF)	Shapefiles	Quercus myrtifolia	myrtle oak	Little (1977) 	115
Graphic(PDF)	Shapefiles	Quercus nigra	water oak	Little (1971) 	175-E
Graphic(PDF)	Shapefiles	Quercus nuttallii	Nuttall oak	Little (1971) 	176-E
Graphic(PDF)	Shapefiles	Quercus oblongifolia	Mexican blue oak	Little (1976) 	142
Graphic(PDF)	Shapefiles	Quercus oglethorpensis	Oglethorpe oak	Little (1977) 	116
Graphic(PDF)	Shapefiles	Quercus palustris	pin oak	Little (1971) 	177-E
Graphic(PDF)	Shapefiles	Quercus phellos	willow oak	Little (1971) 	178-E
Graphic(PDF)	Shapefiles	Quercus prinus	chestnut oak	Little (1971) 	179-E
Graphic(PDF)	Shapefiles	Quercus pungens	sandpaper oak	Little (1976) 	144
Graphic(PDF)	Shapefiles	Quercus rubra	northern red oak	Little (1971) 	180-N, 180-E
Graphic(PDF)	Shapefiles	Quercus rugosa	netleaf oak	Little (1976) 	143-N, 143-SW
Graphic(PDF)	Shapefiles	Quercus shumardii	Shumard oak	Little (1971) 	181-W, 181-E
Graphic(PDF)	Shapefiles	Quercus stellata	post oak	Little (1971) 	182-W, 182-E
Graphic(PDF)	Shapefiles	Quercus tomentella	island live oak	Little (1976) 	145
Graphic(PDF)	Shapefiles	Quercus toumeyi	Toumey oak	Little (1976) 	146
Graphic(PDF)	Shapefiles	Quercus turbinella	shrub live oak	Little (1976) 	147
Graphic(PDF)	Shapefiles	Quercus velutina	black oak	Little (1971) 	183-E
Graphic(PDF)	Shapefiles	Quercus virginiana	live oak	Little (1971) 	184-N, 184-W, 184-E
Graphic(PDF)	Shapefiles	Quercus wislizeni	interior live oak	Little (1976) 	148
Graphic(PDF)	Shapefiles	Rapanea punctata	Florida rapanea	Little (1978) 	236
Graphic(PDF)	Shapefiles	Reynosia septentrionalis	darling plum	Little (1978) 	237
Graphic(PDF)	Shapefiles	Rhamnus betulaefolia	birchleaf buckthorn	Little (1976) 	149
Graphic(PDF)	Shapefiles	Rhamnus californica	California buckthorn	Little (1976) 	151
Graphic(PDF)	Shapefiles	Rhamnus caroliniana	Carolina buckthorn	Little (1977) 	117-N,117-SE
Graphic(PDF)	Shapefiles	Rhamnus crocea	hollyleaf buckthorn	Little (1976) 	150-NW, 150-SW
Graphic(PDF)	Shapefiles	Rhamnus purshiana	cascara buckthorn	Little (1971) 	185-W, 185-N
Graphic(PDF)	Shapefiles	Rhizophora mangle	mangrove	Little (1971, 1978) 	186-N, 186-E,238
Graphic(PDF)	Shapefiles	Rhododendron catawbiense	Catawba rhododendron	Little (1977) 	118
Graphic(PDF)	Shapefiles	Rhododendron macrophyllum	Pacific rhododendron	Little (1976) 	152
Graphic(PDF)	Shapefiles	Rhododendron maximum	rosebay rhododendron	Little (1977) 	119
Graphic(PDF)	Shapefiles	Rhus choriophylla	Mearns sumac	Little (1976) 	153
Graphic(PDF)	Shapefiles	Rhus copallina	shining sumac	Little (1977) 	120-SE, 120-N
Graphic(PDF)	Shapefiles	Rhus glabra	smooth sumac	Little (1976, 1977) 	155-NW, 155-SW, 121-NE,121-SE
Graphic(PDF)	Shapefiles	Rhus integrifolia	lemonade sumac	Little (1976) 	154
Graphic(PDF)	Shapefiles	Rhus kearneyi	Kearney sumac	Little (1976) 	156
Graphic(PDF)	Shapefiles	Rhus lanceolata	prairie sumac	Little (1976) 	158-N, 158-SW
Graphic(PDF)	Shapefiles	Rhus laurina	laurel sumac	Little (1976) 	157
Graphic(PDF)	Shapefiles	Rhus microphylla	littleleaf sumac	Little (1976) 	159
Graphic(PDF)	Shapefiles	Rhus ovata	sugar sumac	Little (1976) 	160
Graphic(PDF)	Shapefiles	Rhus typhina	staghorn sumac	Little (1977) 	122-N, 122-NE
Graphic(PDF)	Shapefiles	Robinia kelseyi	Kelsey locust	Little (1977) 	123
Graphic(PDF)	Shapefiles	Robinia neomexicana	New Mexican locust	Little (1976) 	162
Graphic(PDF)	Shapefiles	Robinia pseudoacacia	black locust	Little (1971) 	187-E
Graphic(PDF)	Shapefiles	Robinia viscosa	clammy locust	Little (1977) 	124
Graphic(PDF)	Shapefiles	Roystonea elata	Florida royalpalm	Little (1978) 	239
Graphic(PDF)	Shapefiles	Sabal mexicana	Mexican palmetto	Little (1976) 	161-N, 161-SW
Graphic(PDF)	Shapefiles	Sabal minor	dwarf palmetto	Little (1977) 	125
Graphic(PDF)	Shapefiles	Sabal palmetto	cabbage palmetto	Little (1971) 	188-E
Graphic(PDF)	Shapefiles	Salix alaxensis	feltleaf willow	Little (1976) 	163-N
Graphic(PDF)	Shapefiles	Salix amygdaloides	peachleaf willow	Little (1971) 	189-W,189-E,189-N
Graphic(PDF)	Shapefiles	Salix arbusculoides	peachleaf willow	Little (1976) 	164-N
Graphic(PDF)	Shapefiles	Salix bebbiana	Bebb willow	Little (1976, 1977) 	165-N, 165-NW, 165-SW, 127-N, 127-NE
Graphic(PDF)	Shapefiles	Salix bonplandiana	Bonpland willow	Little (1976) 	166-N, 166-SW
Graphic(PDF)	Shapefiles	Salix caroliniana	Coastal Plain willow	Little (1977) 	126
Graphic(PDF)	Shapefiles	Salix discolor	pussy willow	Little (1976, 1977) 	167-N, 167-W, 128-N, 128-NE
Graphic(PDF)	Shapefiles	Salix exigua	coyote willow	Little (1976, 1977) 	168-NW, 168-SW, 168-N, 129-NE, 129-SE, 129-N
Graphic(PDF)	Shapefiles	Salix floridana	Florida willow	Little (1977) 	130
Graphic(PDF)	Shapefiles	Salix fluviatilis	river willow	Little (1976) 	169
Graphic(PDF)	Shapefiles	Salix geyeriana	Geyer willow	Little (1976) 	170
Graphic(PDF)	Shapefiles	Salix hindsiana	Hinds willow	Little (1976) 	171
Graphic(PDF)	Shapefiles	Salix hookeriana	Hooker willow	Little (1976) 	172-N, 172-W
Graphic(PDF)	Shapefiles	Salix laevigata	red willow	Little (1976) 	176
Graphic(PDF)	Shapefiles	Salix lasiandra	Pacific willow	Little (1976) 	173-N, 173-W
Graphic(PDF)	Shapefiles	Salix lasiolepis	arroyo willow	Little (1976) 	174-NW, 174-SW
Graphic(PDF)	Shapefiles	Salix lucida	shining willow	Little (1977) 	131-N, 131-NE
Graphic(PDF)	Shapefiles	Salix mackenzieana	Mackenzie willow	Little (1976) 	175-N, 175-W
Graphic(PDF)	Shapefiles	Salix nigra	black willow	Little (1971, 1976) 	190-N,190-W,190-E, 177-N, 177-NW, 177-SW
Graphic(PDF)	Shapefiles	Salix pellita	satiny willow	Little (1977) 	132-N, 132-NE
Graphic(PDF)	Shapefiles	Salix petiolaris	meadow willow	Little (1976, 1977) 	178-N, 178-NW, 133-N, 133-NE
Graphic(PDF)	Shapefiles	Salix pyrifolia	balsam willow	Little (1977) 	134-N, 134-NE
Graphic(PDF)	Shapefiles	Salix scouleriana	Scouler willow	Little (1976) 	179-N, 179-W
Graphic(PDF)	Shapefiles	Salix sericea	silky willow	Little (1977) 	135-N, 135-NE
Graphic(PDF)	Shapefiles	Salix sessilifolia	northwest willow	Little (1976) 	180
Graphic(PDF)	Shapefiles	Salix sitchensis	Sitka willow	Little (1976) 	182-N, 182-W
Graphic(PDF)	Shapefiles	Salix taxifolia	yewleaf willow	Little (1976) 	183-N, 183-SW
Graphic(PDF)	Shapefiles	Salix tracyi	Tracy willow	Little (1976) 	181
Graphic(PDF)	Shapefiles	Sambucus callicarpa	Pacific red elder	Little (1976) 	184-N, 184-W
Graphic(PDF)	Shapefiles	Sambucus canadensis	American elder	Little (1977) 	136-NE, 136-SE, 136-N
