year,site,plot,date,rep,stage1,stage2,stage3,stage4,average,overall
7,4,6,219,3,3,4,5,6,4.5,4.25
7,4,6,226,3,5,6,,,5.5,5.5
7,4,6,233,3,5,6,,,5.5,5.75
7,4,6,240,3,5,6,,,5.5,5.75
7,4,6,247,3,5,6,,,5.5,5.75
7,4,6,254,3,6,,,,6,6
7,4,6,155,4,0,,,,0,0
7,4,6,163,4,1,,,,1,1
7,4,6,170,4,1,,,,1,1
7,4,6,177,4,1,2,,,1.5,1.25
7,4,6,183,4,1,2,,,1.5,1.25
7,4,6,191,4,2,3,,,2.5,2.25
7,4,6,198,4,3,4,,,3.5,3.5
7,4,6,205,4,3,4,5,,4,4.5
7,4,6,213,4,3,4,5,,4,4.25
7,4,6,219,4,3,5,,,4,4.25
7,4,6,254,4,6,,,,6,6
7,4,6,155,5,0,,,,0,0
7,4,6,163,5,1,,,,1,1
7,4,6,170,5,1,,,,1,1
7,4,6,177,5,1,,,,1,1
7,4,6,183,5,2,,,,2,2
7,4,6,191,5,2,,,,2,2
7,4,6,198,5,3,4,,,3.5,3.5
7,4,6,205,5,3,4,5,,4,4.5
7,4,6,213,5,3,4,5,,4,4.5
7,4,6,219,5,3,4,5,,4,4.5
7,4,6,226,5,5,6,,,5.5,5.5
7,4,6,233,5,5,6,,,5.5,5.75
7,4,6,240,5,5,6,,,5.5,5.75
7,4,6,247,5,5,6,,,5.5,5.75
7,4,6,254,5,6,,,,6,6
7,4,7,170,1,0,,,,0,0
7,4,7,177,1,1,,,,1,1
7,4,7,183,1,1,,,,1,1
7,4,7,191,1,1,2,,,1.5,1.25
7,4,7,198,1,2,3,4,,3,2.75
7,4,7,205,1,3,4,5,,4,3.75
7,4,7,213,1,3,4,5,,4,4
7,4,7,219,1,3,4,5,,4,4.25
7,4,7,226,1,3,4,5,,4,4.75
7,4,7,233,1,5,6,,,5.5,5.5
7,4,7,247,1,5,6,,,5.5,5.75
7,4,7,254,1,6,,,,6,6
7,4,7,170,2,0,,,,0,0
7,4,7,177,2,1,,,,1,1
7,4,7,183,2,1,,,,1,1
7,4,7,191,2,2,,,,2,2
7,4,7,198,2,1,2,3,,2,1.5
7,4,7,205,2,3,4,,,3.5,3.5
7,4,7,213,2,3,4,,,3.5,3.5
7,4,7,219,2,3,4,5,,4,4
7,4,7,226,2,4,5,,,4.5,4.75
7,4,7,233,2,5,6,,,5.5,5.75
7,4,7,240,2,5,6,,,5.5,5.75
7,4,7,247,2,5,6,,,5.5,5.75
7,4,7,254,2,5,6,,,5.5,5.75
7,4,7,170,3,0,,,,0,0
7,4,7,177,3,1,,,,1,1
7,4,7,183,3,1,,,,1,1
7,4,7,191,3,1,2,,,1.5,2
7,4,7,198,3,2, ,,,2,1.25
7,4,7,205,3,3,4,,,3.5,3.75
7,4,7,213,3,3,4,5,,4,4
7,4,7,219,3,3,4,5,,4,4.5
7,4,7,226,3,3,4,5,,4,4.75
7,4,7,233,3,5,6,,,5.5,5.25
7,4,7,240,3,5,6,,,5.5,5.5
7,4,7,247,3,5,6,,,5.5,5.75
7,4,7,254,3,6,,,,6,6
7,4,7,170,4,0,,,,0,0
7,4,7,177,4,1,,,,1,1
7,4,7,183,4,1,,,,1,1
7,4,7,191,4,1,,,,1,1
7,4,7,198,4,2,,,,2,2
7,4,7,205,4,2,3,4,5,3.5,3.25
7,4,7,213,4,2,3,4,5,3.5,3.5
7,4,7,219,4,3,4,5,,4,4.25
7,4,7,226,4,4,5,,,4.5,4.5
7,4,7,233,4,4,5,,,4.5,4.5
7,4,7,240,4,5,6,,,5.5,5.25
7,4,7,247,4,5,6,,,5.5,5.25
7,4,7,254,4,5,6,,,5.5,5.5
7,4,7,170,5,0,,,,0,0
7,4,7,177,5,1,,,,1,1
7,4,7,183,5,1,,,,1,1
7,4,7,191,5,1,2,,,1.5,1.25
7,4,7,198,5,2,3,4,,3,3.25
7,4,7,205,5,3,4,5,,4,4.25
7,4,7,213,5,3,4,5,,4,4.5
7,4,7,219,5,3,4,5,,4,4.75
7,4,9,170,1,0,,,,0,0
7,4,9,177,1,1,,,,1,1
7,4,9,183,1,1,,,,1,1
7,4,9,191,1,1,,,,1,1
7,4,9,198,1,1,2,,,1.5,1.25
7,4,9,205,1,2,3,4,,3,2.75
7,4,9,213,1,2,3,4,5,3.5,3.25
7,4,9,219,1,2,3,4,5,3.5,4.25
7,4,9,226,1,3,4,5,,4,4.75
7,4,9,233,1,4,5,6,,5,5.25
7,4,9,240,1,5,6,,,5.5,5.25
7,4,9,247,1,5,6,,,5.5,5.25
7,4,9,254,1,5,6,,,5.5,5.5
7,4,9,170,2,0,,,,0,0
7,4,9,177,2,1,,,,1,1
7,4,9,183,2,1,,,,1,1
7,4,9,191,2,1,2,,,1.5,1.25
7,4,9,198,2,1,2,3,,2,1.5
7,4,9,213,2,1,3,,,2,1.5
7,4,9,219,2,3,,,,3,3
7,4,9,226,2,5,6,,,5.5,5.25
7,4,9,233,2,5,6,,,5.5,5.75
7,4,9,240,2,5,6,,,5.5,5.75
7,4,9,247,2,5,6,,,5.5,5.75
7,4,9,254,2,6,,,,6,6
7,4,9,170,3,0,,,,0,0
7,4,9,177,3,1,,,,1,1
7,4,9,183,3,1,,,,1,1
7,4,9,191,3,1,2,,,1.5,1.25
7,4,9,198,3,1,2,3,4,2.5,2
7,4,9,205,3,2,3,4,5,3.5,3.5
7,4,9,213,3,3,4,5,,4,4.25
7,4,9,219,3,3,4,5,,4,4.5
7,4,9,226,3,4,5,,,4.5,4.75
7,4,9,233,3,5,6,,,5.5,5.25
7,4,9,240,3,5,6,,,5.5,5.25
7,4,9,247,3,5,6,,,5.5,5.25
7,4,9,254,3,5,6,,,5.5,5.5
7,4,10,155,1,0,,,,0,0
7,4,10,163,1,1,,,,1,1
7,4,10,170,1,1,,,,1,1
7,4,10,177,1,1,,,,1,1
7,4,10,183,1,1,2,,,1.5,1.5
7,4,10,191,1,2,3,,,2.5,2.25
7,4,10,198,1,2,3,4,,3,2.75
7,4,10,205,1,3,4,5,,4,4.5
7,4,10,213,1,3,4,5,,4,4.75
7,4,10,219,1,3,4,5,,4,4.5
7,4,10,226,1,5,6,,,5.5,5.25
7,4,10,233,1,5,6,,,5.5,5.75
7,4,10,240,1,5,6,,,5.5,5.75
7,4,10,247,1,5,6,,,5.5,5.5
7,4,10,254,1,5,6,,,5.5,5.75
7,4,10,155,2,0,,,,0,0
7,4,10,163,2,1,,,,1,1
7,4,10,170,2,1,,,,1,1
7,4,10,177,2,1,,,,1,1
7,4,10,183,2,1,2,,,1.5,1.5
7,4,10,191,2,2,3,,,2.5,2.25
7,4,10,198,2,3,4,,,3.5,3.5
7,4,10,205,2,3,4,5,,4,4.5
7,4,10,213,2,3,5,,,4,5
7,4,10,155,3,0,,,,0,0
7,4,10,163,3,1,,,,1,1
7,4,10,170,3,1,,,,1,1
7,4,10,177,3,1,2,,,1.5,1.25
7,4,10,183,3,2,,,,2,2
7,4,10,191,3,2,3,,,2.5,2.25
7,4,10,198,3,3,4,,,3.5,3.5
7,4,10,205,3,3,4,5,,4,4.5
7,4,10,155,4,0,,,,0,0
7,4,10,163,4,1,,,,1,1
7,4,10,170,4,1,,,,1,1
7,4,10,177,4,1,,,,1,1
7,4,10,183,4,2,,,,2,2
7,4,10,191,4,2,3,,,2.5,2.75
7,4,10,198,4,3,4,,,3.5,3.5
7,4,10,205,4,3,4,5,,4,4.5
7,4,10,213,4,3,5,,,4,5
7,4,10,219,4,5,6,,,5.5,5.25
7,4,10,226,4,5,6,,,5.5,5.5
7,4,10,233,4,6,,,,6,6
7,4,10,155,5,0,,,,0,0
7,4,10,163,5,1,,,,1,1
7,4,10,170,5,1,,,,1,1
7,4,10,177,5,1,,,,1,1
7,4,10,183,5,1,2,,,1.5,1.25
7,4,10,191,5,2,3,,,2.5,2.25
7,4,10,198,5,3,4,,,3.5,3.5
7,4,10,205,5,3,4,5,,4,4.5
7,4,10,213,5,3,4,5,,4,4.5
7,4,10,219,5,5,6,,,5.5,5.25
7,4,10,226,5,5,6,,,5.5,5.75
7,4,10,233,5,6,,,,6,6
