Plot,Tree,Plot,Tree,Species,1st bud break,>= 3 buds,1st leaf unfolded,>= 3 leaves,full leaf,dead?,Comment
31,S,1,541,Q. rubra  ,106,106,116,130,168,no,dried up leaves 5/3; 3 leaves unfolded- new bud 5/5; dry again on 5/24; 3 buds broken-unsure; full leaf expansion-resprout
31,S,4,269,A. rubrum ,97,97,102,106,123,no,
31,S,3,123,B. lenta  ,97,97,113,116,125,no,
31,E,1,542,Q. rubra  ,106,116,123,123,137,no,bottom sprout; 3 buds broken-unsure
31,E,3,270,A. rubrum ,104,111,116,118,137,no,
31,E,4,124,B. lenta  ,.,.,.,.,.,yes,
32,N,1,271,A. rubrum ,.,.,.,.,.,yes,
32,N,2,125,B. lenta  ,97,97,113,116,123,no,
32,N,3,543,Q. rubra  ,104,106,116,116,144,no,bottom sprouts - all but one branch eaten by voles 6-14
32,W,1,126,B. lenta  ,99,109,116,118,130,no,5/25  - main stem dead (sprouts remain)
32,W,2,272,A. rubrum ,99,99,113,120,140,no,bottom sprout; 3 buds broken-unsure
32,W,3,544,Q. rubra  ,104,109,118,120,146,no,
32,S,1,273,A. rubrum ,.,.,.,.,.,yes,
32,S,2,127,B. lenta  ,97,97,113,116,123,no,
32,S,3,545,Q. rubra  ,111,111,116,120,125,no,
32,E,1,128,B. lenta  ,97,97,113,116,123,no,"bottom sprout; main stem broken in biomass harvest 6-14; 3 buds broken, 3 leaves unfolded-unsure"
32,E,1,128,B. lenta (main stem),144,144,144,158,.,yes,broken in harvest 165; 1st bud break<144
32,E,2,274,A. rubrum ,99,106,113,113,.,yes,still not right color 158 but right site; 165 not getting any better
32,E,4,546,Q. rubra  ,102,106,113,116,125,no,
33,N,1,531,A. rubrum ,113,113,116,120,144,no,
33,N,2,129,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
33,N,3,547,Q. rubra  ,106,111,116,118,125,no,
33,W,1,532,A. rubrum ,.,.,.,.,.,yes,
33,W,2,130,B. lenta  ,97,106,116,120,125,no,
33,W,3,548,Q. rubra  ,.,.,.,.,.,yes,
33,S,1,131,B. lenta  ,.,.,.,.,.,yes,
33,S,2,533,A. rubrum ,.,.,.,.,.,yes,
33,S,3,549,Q. rubra  ,.,.,.,.,.,yes,
33,E,1,132,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
33,E,2,550,Q. rubra  ,106,109,113,116,123,no,
33,E,4,534,A. rubrum ,.,.,.,.,.,yes,
34,N,1,535,A. rubrum ,97,102,106,113,123,no,
34,N,2,133,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
34,N,4,551,Q. rubra  ,116,116,120,120,144,no,"3 buds broken, 3 leaves unfolded-unsure"
34,W,1,134,B. lenta  ,.,.,.,.,.,yes,
34,W,2,552,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
34,W,4,536,A. rubrum ,116,118,123,123,134,no,
34,S,1,553,Q. rubra  ,120,120,120,120,123,yes,"1st bud break, 3 buds broken<120; 3 leaves unfolded -unsure; full leaf expansion- leaves ~1cm, but look mature"
34,S,2,135,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
34,S,4,537,A. rubrum ,113,113,120,123,134,no,3 buds broken-unsure
34,E,1,538,A. rubrum ,.,.,.,.,.,yes,
34,E,3,554,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
34,E,4,136,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
35,N,2,539,A. rubrum ,116,118,123,123,125,no,
35,N,4,137,B. lenta  ,.,.,.,.,.,yes,tag taken 3-22-10
35,N,3,555,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,W,2,540,A. rubrum ,99,99,113,113,120,no,
35,W,3,138,B. lenta  ,.,.,.,.,.,yes,
35,W,4,556,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,S,1,139,B. lenta  ,.,.,.,.,.,yes,
35,S,3,541,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
35,S,2,557,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,E,1,140,B. lenta  ,.,.,.,.,.,yes,
35,E,2,558,Q. rubra  ,120,120,120,120,132,no,"tag taken 3-22-10; needs tag; 1st bud break, 3 buds broken, 1st leaf unfolded<120"
35,E,4,542,A. rubrum ,.,.,.,.,.,yes,
36,N,2,543,A. rubrum ,.,.,.,.,.,yes,
36,N,3,141,B. lenta  ,.,.,.,.,.,yes,
36,N,4,561,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10 (stump dried)
36,W,1,562,Q. rubra  ,.,.,.,.,.,yes,
36,W,2,544,A. rubrum ,.,.,.,.,.,yes,
36,W,4,142,B. lenta  ,.,.,.,.,.,yes,
36,S,2,143,B. lenta  ,.,.,.,.,.,yes,
36,S,3,563,Q. rubra  ,.,.,.,.,.,yes,
36,S,4,545,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
36,E,1,144,B. lenta  ,.,.,.,.,.,yes,
36,E,2,564,Q. rubra  ,.,.,.,.,.,yes,
36,E,3,546,A. rubrum ,.,.,.,.,.,yes,
C1,N,2,C4 ,Q. rubra   ,116,116,123,123,152,no,frost 130; 3 buds broken-unsure
C1,N,3,C3 ,B. lenta   ,95,97,106,106,123,no,lost 1 branch to frost (1/3 of tree)
C1,N,4,C2 ,A. rubrum  ,.,.,.,.,.,yes,
C1,W,1,C15,Q. rubra   ,116,.,123,125,152,no, no due to herbivory and frost 130; 1 leaf 152!
C1,W,2,C16,B. lenta   ,97,97,111,113,125,no,
C1,W,4,C14,A. rubrum  ,.,.,.,.,.,yes,
C1,S,1,C10,B. lenta   ,.,.,.,.,.,yes,
C1,S,2,C11,A. rubrum  ,.,.,.,.,.,yes,
C1,S,4,C9 ,Q. rubra   ,.,.,.,.,.,yes,
C1,E,1,C7 ,B. lenta   ,.,.,.,.,.,yes,
C1,E,3,C5 ,Q. rubra   ,.,.,.,.,.,yes,
C1,E,4,C8 ,A. rubrum  ,95,104,97,99,144,no,1st bud break-bottom sprout; 3 leaves unfolded-unsure
C2,N,1,C20,A. rubrum  ,.,.,.,.,.,yes,
C2,N,2,C18,B. lenta   ,97,97,102,116,144,no,"bottom sprouts (were under tag); 1st bud break, 3 buds broken<97"
C2,N,3,C17,Q. rubra   ,.,.,.,.,.,yes,
C2,W,1,C23,A. rubrum  ,.,.,.,.,.,yes,
C2,W,3,C22,Q. rubra   ,.,.,.,.,.,yes,
C2,W,4,C21,B. lenta   ,.,.,.,.,.,yes,
C2,S,2,C28,A. rubrum  ,.,.,.,.,.,yes,
C2,S,3,C25,Q. rubra   ,123,123,140,140,146,no,"3 buds broken, 3 leaves unfolded-unsure"
C2,S,4,C27,B. lenta   ,109,120,120,125,132,no,
C2,E,1,C30,B. lenta   ,.,.,.,.,.,yes,
C2,E,2,C29,Q. rubra   ,.,.,.,.,.,yes,
C2,E,4,C32,A. rubrum  ,.,.,.,.,.,yes,
C3,N,1,C36,B. lenta   ,95,95,109,111,125,no,
C3,N,2,C35,A. rubrum  ,.,.,.,.,.,yes,
C3,N,4,C34,Q. rubra   ,152,152,152,152,154,no,"new bottom sprout; 1st bud break, 3 buds broken<152"
C3,W,1,C39,B. lenta   ,.,.,.,.,.,yes,
C3,W,3,C38,Q. rubra   ,.,.,.,.,.,yes,
C3,W,4,C37,A. rubrum  ,.,.,.,.,.,yes,
C3,S,2,C41,Q. rubra   ,.,.,.,.,.,yes,
C3,S,3,C44,B. lenta   ,.,.,.,.,.,yes,dead?
C3,S,4,C43,A. rubrum  ,.,.,.,.,.,yes,
C3,E,1,C46,B. lenta   ,.,.,.,.,.,yes,
C3,E,3,C47,A. rubrum  ,.,.,.,.,.,yes,
C3,E,4,C48,Q. rubra   ,113,113,116,120,125,no,
