Plot,"Tree
plot","Plot 
loc.","Tree
ID",Species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comment
28,W,1,1265,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
28,W,2,2133,B. nigra  ,.,.,.,.,.,yes,tag taken 3-22-10
28,W,3,1421,A. rubrum ,.,.,.,.,.,yes,
28,S,1,1110,B. nigra  ,.,.,.,.,.,yes,dead?
28,S,2,1422,A. rubrum ,95,95,95,95,111,no,"1st bud break, 3 buds broken<95"
28,S,3,1266,Q. rubra  ,95,95,97,97,99,yes,tag taken 3-22-10; bottom sprouts; needs tag; missing 165 (has tag); dried 144
28,E,1,1111,B. nigra  ,165,165,165,165,165,no,"new btm sprout; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<165"
28,E,2,1423,A. rubrum ,.,.,.,.,.,yes,
28,E,3,1267,Q. rubra  ,.,.,.,.,.,yes,
29,N,1,1112,B. nigra  ,.,.,.,.,.,yes,
29,N,3,1424,A. rubrum ,99,99,102,106,116,no,bottom sprout; 3 buds broken-unsure
29,N,4,2173,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
29,W,1,1269,Q. rubra  ,99,106,111,120,123,no,
29,W,2,1113,B. nigra  ,165,165,165,165,165,no,"tiny btm sprout; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded < 165"
29,W,3,1425,A. rubrum ,95,95,97,99,116,no,bottom sprout; 3 buds broken/ 3 leaves unfolded-unsure
29,S,1,1114,B. nigra  ,95,95,111,111,111,yes,bottom sprout; 3 buds broken/ 3 leaves unfolded/ full leaf expansion-unsure; 1st leaf unfolded<111
29,S,2,1270,Q. rubra  ,.,.,.,.,.,no,
29,S,3,1426,A. rubrum ,109,113,113,113,120,no,3 leaves unfolded-unsure
29,E,1,2139,B. nigra  ,.,.,.,.,.,yes,
29,E,2,2174,Q. rubra  ,.,.,.,.,.,yes,
29,E,4,1491,A. rubrum ,.,.,.,.,.,no,dead?
30,N,2,1272,Q. rubra  ,.,.,.,.,.,yes,
30,N,3,1116,B. nigra  ,.,.,.,.,.,no,
30,N,4,1428,A. rubrum ,97,99,116,116,123,no,top dead? Dried; 3 buds broken/3 leaves unfolded-unsure
30,W,1,1429,A. rubrum ,116,118,120,120,127,no,
30,W,2,1273,Q. rubra  ,.,.,.,.,.,yes,very close to old oak
30,W,4,1117,B. nigra  ,104,104,106,116,125,no,full leaf expansion-hard to tell - herbivory; 3 buds broken-unsure
30,S,2,1274,Q. rubra  ,120,120,123,125,144,no,bottom sprout; 3 buds broken
30,S,3,1118,B. nigra  ,97,97,106,116,127,no,
30,S,4,1430,A. rubrum ,120,120,123,123,125,no,
30,E,2,1119,B. nigra  ,95,95,97,102,130,no,full leaf expansion- hard to tell - herbivory
30,E,4,1275,Q. rubra  ,97,97,.,.,.,yes,leaves are brown and dried; died 5/3; 3 buds broken-unsure
30,E,3,1431,A. rubrum ,.,.,.,.,.,yes,
31,N,1,1276,Q. rubra  ,102,102,111,113,118,no,
31,N,3,1120,B. nigra  ,95,97,102,113,123,no,
31,N,4,1432,A. rubrum ,102,106,116,118,144,no,
31,W,1,1121,B. nigra  ,97,99,106,113,125,no,
31,W,2,1492,A. rubrum ,102,102,113,118,125,no,bottom sprout; 3 buds  broken/3 leaves unfolded-unsure
31,W,3,1277,Q. rubra  ,106,116,113,120,132,no,bottom sprout
31,S,1,1278,Q. rubra  ,111,123,116,120,148,no,
31,S,4,1434,A. rubrum ,123,123,125,125,144,no,bottom sprouts ?missing 165; 3 buds broken/3 leaves unfolded-unsure
31,S,3,1122,B. nigra  ,97,111,111,120,127,no,
31,E,1,1279,Q. rubra  ,.,.,.,.,.,yes,
31,E,3,1503,A. rubrum ,97,97,111,113,132,no,bottom sprout; 3 buds broken-unsure
31,E,4,1123,B. nigra  ,.,.,.,.,.,yes,
32,N,1,1436,A. rubrum ,.,.,.,.,.,yes,
32,N,2,1124,B. nigra  ,97,99,116,118,127,no,top dead? No still alive
32,N,3,1280,Q. rubra  ,125,125,125,130,144,no,3 buds broken-unsure
32,W,1,1125,B. nigra  ,97,97,106,113,123,no,full leaf expansion - hard to tell - eaten
32,W,2,1437,A. rubrum ,113,113,120,120,158,no,low sprout; 3 buds broken-unsure
32,W,3,1281,Q. rubra  ,.,.,.,.,.,yes,dried stump 3-22-10
32,S,1,1438,A. rubrum ,.,.,.,.,.,yes,eaten from below 3-22-10
32,S,2,1126,B. nigra  ,140,140,140,140,165,no,"top cut or chewed off 3-22-10; full leaf exp bottom sprout; 1st bud break, 3 buds broken<140"
32,S,3,1282,Q. rubra  ,120,120,120,120,130,no,bottom sprout; 1st bud break<120
32,E,1,1127,B. nigra  ,165,165,165,165,172,no,"btm sp.; 1st bud break, 3 buds broken, 1st leaf unfolded<165"
32,E,2,1439,A. rubrum ,152,152,152,152,152,no,"tiny new sprout leaves; 1st bud break, 3 buds broken, 1st leaf unfolded, 3 leaves unfolded<152"
32,E,4,1283,Q. rubra  ,104,113,120,123,134,no,bottom sprout; herbivory; 3 buds broken-unsure
33,N,1,1487,A. rubrum ,116,120,120,123,125,no,
33,N,2,1128,B. nigra  ,116,116,120,120,144,no,3 buds broken/3 leaves unfolded-unsure
33,N,3,1284,Q. rubra  ,125,125,125,125,144,no,"1st bud break, 3 buds broken, 1st leaf unfolded<125"
33,W,1,1441,A. rubrum ,99,113,116,120,130,no,
33,W,2,1129,B. nigra  ,97,97,106,113,125,no,
33,W,3,1285,Q. rubra  ,99,109,111,113,123,no,no leaves/ sprouts on 165; 3 buds broken-unsure
33,S,1,2130,B. nigra  ,.,.,.,.,.,yes,stem chewed off 3-22-10
33,S,2,1513,A. rubrum ,116,116,123,123,137,no,3 buds broken-unsure
33,S,3,1286,Q. rubra  ,106,106,116,116,130,no,full leaf expansion-hard to tell - herbivory
33,E,1,1131,B. nigra  ,99,99,111,113,123,no,
33,E,2,1287,Q. rubra  ,125,125,125,130,137,no,bottom sprout/ low buds (top dead); dried up 165; 1st bud break<125
33,E,4,1443,A. rubrum ,111,113,116,120,125,no,
34,N,1,1472,A. rubrum ,113,113,120,120,158,no,3 buds broken/3 leaves unfolded-unsure
34,N,2,1132,B. nigra  ,.,.,.,.,.,yes,
34,N,4,1288,Q. rubra  ,.,.,.,.,.,yes,
34,W,1,1133,B. nigra  ,116,120,120,123,127,no,
34,W,2,1289,Q. rubra  ,.,.,.,.,.,yes,
34,W,4,1514,A. rubrum ,120,123,123,123,.,no,
34,S,1,1290,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
34,S,2,1134,B. nigra  ,.,.,.,.,.,yes,
34,S,4,1446,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
34,E,1,1516,A. rubrum ,.,.,.,.,.,yes,tag and tree taken 3-22-10
34,E,3,1291,Q. rubra  ,120,120,120,120,125,no,"3 buds broken-unsure; 1st bud break, 3 buds broken<120"
34,E,4,1135,B. nigra  ,.,.,.,.,.,yes,
35,N,2,1448,A. rubrum ,.,.,.,.,.,yes,
35,N,4,1136,B. nigra  ,.,.,.,.,.,yes,
35,N,3,1292,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,W,2,1525,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
35,W,3,1137,B. nigra  ,.,.,.,.,.,yes,
35,W,4,2161,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,S,1,2132,B. nigra  ,.,.,.,.,.,yes,
35,S,3,1524,A. rubrum ,.,.,.,.,.,yes,tag taken 3-22-10
35,S,2,2177,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
35,E,1,1139,B. nigra  ,.,.,.,.,.,yes,
35,E,2,1294,Q. rubra  ,106,106,111,111,118,yes,day 144 dried up
35,E,4,,A. rubrum ,.,.,.,.,.,yes,
36,N,2,1452,A. rubrum ,.,.,.,.,.,yes,
36,N,3,1140,B. nigra  ,.,.,.,.,.,yes,
36,N,4,1296,Q. rubra  ,.,.,.,.,.,yes,tag taken 3-22-10
36,W,1,1297,Q. rubra  ,.,.,.,.,.,yes,
36,W,2,1453,A. rubrum ,.,.,.,.,.,yes,
36,W,4,2137,B. nigra  ,.,.,.,.,.,yes,
36,S,2,2139,B. nigra  ,.,.,.,.,.,yes,
36,S,3,1298,Q. rubra  ,.,.,.,.,.,yes,
36,S,4,1500,A. rubrum ,.,.,.,.,.,yes,
36,E,1,1143,B. nigra  ,.,.,.,.,.,yes,
36,E,2,1299,Q. rubra  ,.,.,.,.,.,yes,
36,E,3,1455,A. rubrum ,.,.,.,.,.,yes,
C1,N,2,1300,Q. rubra   ,111,111,123,123,146,no,bottom sprout; frost 130; 3 buds broken-unsure
C1,N,3,1144,B. nigra   ,97,97,.,.,.,no,?dead 4-21
C1,N,4,1456,A. rubrum  ,102,102,116,123,146,no,dead?
C1,W,1,1301,Q. rubra   ,144,144,144,144,144,no,"dead?; 3 buds broken-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded<144"
C1,W,2,1145,B. nigra   ,.,.,.,.,.,yes,
C1,W,4,1457,A. rubrum  ,.,.,.,.,.,yes,
C1,S,1,1146,B. nigra   ,95,97,102,109,120,no,
C1,S,2,1458,A. rubrum  ,144,144,144,144,146,no,"dead?; 3 buds broken-unsure; 1st bud break, 3 buds broken, 1st leaf unfolded<144"
C1,S,4,1302,Q. rubra   ,102,102,106,.,123,no,bottom sprouts; frost 130
C1,E,1,1147,B. nigra   ,.,.,.,.,.,yes,eaten by voles (tree taken 4-5-10
C1,E,3,1303,Q. rubra   ,116,125,125,127,146,no,frost 130; full leaf expansion -  hard to tell - frost + herbivory dmg
C1,E,4,1473,A. rubrum  ,102,106,113,116,134,no,
C2,N,1,1460,A. rubrum  ,109,109,109,125,125,no,"1st bud break, 3 buds broken<109; 3 leaves unfolded<125"
C2,N,2,1148,B. nigra   ,.,.,.,.,.,yes,
C2,N,3,1304,Q. rubra   ,102,104,116,116,144,no,bottom sprouts; full leaf expansion -hard to tell - frost + herbivory
C2,W,1,1471,A. rubrum  ,113,118,118,120,146,no,3 buds broken-unsure
C2,W,3,1305,Q. rubra   ,109,120,123,123,152,no,frost damaged 130; somes leaves done 152
C2,W,4,1149,B. nigra   ,.,.,.,.,.,no,dead?
C2,S,2,1462,A. rubrum  ,113,113,116,120,140,no,bottom sprouts; 3 buds broken-unsure
C2,S,3,1306,Q. rubra   ,116,116,116,116,125,no,"bottom sprouts; 1st bud break, 3 buds broken<116"
C2,S,4,2141,B. nigra   ,.,.,.,.,.,yes,
C2,E,1,1151,B. nigra   ,116,116,127,140,144,no,bottom sprout; 3 buds broken-unsure
C2,E,2,1307,Q. rubra   ,109,.,.,.,.,no,
C2,E,4,1413,A. rubrum  ,.,.,.,.,.,yes,
C3,N,1,1152,B. nigra   ,97,97,106,113,125,no,
C3,N,2,1464,A. rubrum  ,113,113,116,120,144,no,3 buds broken-unsure
C3,N,4,1308,Q. rubra   ,111,111,118,120,130,no,
C3,W,1,1153,B. nigra   ,.,.,.,.,.,yes,
C3,W,3,1309,Q. rubra   ,125,125,125,125,140,no,"bottom sprout; 1st bud break<<125; 3 buds broken, 1st leaf unfolded<125"
C3,W,4,1469,A. rubrum  ,.,.,.,.,.,yes,bottom sprout
C3,S,2,1310,Q. rubra   ,106,106,113,116,130,no,bottom sprout; 3 buds broken-unsure
C3,S,3,1154,B. nigra   ,.,.,.,.,.,yes,
C3,S,4,1466,A. rubrum  ,.,.,.,.,.,yes,
C3,E,1,1155,B. nigra   ,97,97,102,102,134,no,"top, fallen branch and other branch dead?; 3 buds broken/3 leaves unfolded-unsure"
C3,E,3,1467,A. rubrum  ,.,.,.,.,.,yes,
C3,E,4,1311,Q. rubra   ,.,.,.,.,.,yes,
